"","Pathway","Gene","Level"
"855","Nucleotide import","Slc25a4","Pathway_Level3"
"856","Nucleotide synthesis and processing","Dut","Pathway_Level3"
"857","Metals and cofactors","Alas1","Pathway_Level2"
"858","Coenzyme Q metabolism","Coq6","Pathway_Level3"
"859","Copper metabolism","Slc25a3","Pathway_Level3"
"860","Heme synthesis and processing","Cox15","Pathway_Level3"
"861","Fe-S cluster biosynthesis","Fdx2","Pathway_Level3"
"862","NAD biosynthesis and metabolism","Nnt","Pathway_Level3"
"863","Fe-S-containing proteins","Cisd3","Pathway_Level3"
"864","Heme-containing proteins","Cyp27a1","Pathway_Level3"
"865","Vitamin metabolism","Amt","Pathway_Level2"
"866","Choline and betaine metabolism","Sardh","Pathway_Level3"
"867","Folate and 1-C metabolism","Fpgs","Pathway_Level3"
"868","Detoxification","Aldh1b1","Pathway_Level2"
"869","Xenobiotic metabolism","Aldh2","Pathway_Level3"
"870","ROS and glutathione metabolism","Gpx1","Pathway_Level3"
"871","Electron carriers","Etfa","Pathway_Level2"
"872","Q-linked reactions, other","Etfrf1","Pathway_Level3"
"873","Sulfur metabolism","Slc25a30","Pathway_Level2"
"874","Small molecule transport","Abcd2","Pathway_Level1"
"875","SLC25A family","Slc25a13","Pathway_Level2"
"876","ABC transporters","Abcd2","Pathway_Level2"
"877","Signaling","Cstad","Pathway_Level1"
"878","Calcium homeostasis","Micu3","Pathway_Level2"
"879","Calcium cycle","Slc25a3","Pathway_Level3"
"880","EF hand proteins","Slc25a12","Pathway_Level3"
"881","Mitochondrial dynamics and surveillance","Arl2","Pathway_Level1"
"882","Fusion","Oma1","Pathway_Level2"
"883","Fission","Mtfp1","Pathway_Level2"
"884","Organelle contact sites","Miga2","Pathway_Level2"
"885","Intramitochondrial membrane interactions","Samm50","Pathway_Level2"
"886","Trafficking","Rhot2","Pathway_Level2"
"887","Mitophagy","Park7","Pathway_Level2"
"888","Autophagy","Nipsnap2","Pathway_Level2"
"889","Apoptosis","Bbc3","Pathway_Level2"
"890","Cristae formation","Chchd6","Pathway_Level2"
"891","MICOS complex","Micos13","Pathway_Level3"
"892","Mitochondrial central dogma","Cars2","Pathway_Level1"
"893","mtDNA maintenance","Mgme1","Pathway_Level2"
"894","mtDNA replication","Rnaseh1","Pathway_Level3"
"895","mtDNA nucleoid","Polrmt","Pathway_Level3"
"896","mtDNA repair","Recql4","Pathway_Level3"
"897","mtRNA metabolism","Endog","Pathway_Level2"
"898","Transcription","Tfb2m","Pathway_Level3"
"899","mtRNA granules","Fastkd5","Pathway_Level3"
"900","Polycistronic mtRNA processing","Hsd17b10","Pathway_Level3"
"901","mt-tRNA modifications","Nsun3","Pathway_Level3"
"902","mt-rRNA modifications","Myg1","Pathway_Level3"
"903","mtRNA stability and decay","Lactb2","Pathway_Level3"
"904","Translation","Dap3","Pathway_Level2"
"905","Mitochondrial ribosome","Mrpl12","Pathway_Level3"
"906","Mitochondrial ribosome assembly","Mettl17","Pathway_Level3"
"907","Translation factors","Mrrf","Pathway_Level3"
"908","mt-tRNA synthetases","Gatc","Pathway_Level3"
"909","Protein import, sorting and homeostasis","Casp3","Pathway_Level1"
"910","Protein import and sorting","Grpel1","Pathway_Level2"
"911","TOM","Tomm7","Pathway_Level3"
"912","Preprotein cleavage","Xpnpep3","Pathway_Level3"
"913","Protein homeostasis","Casp9","Pathway_Level2"
"914","Proteases","Clpb","Pathway_Level3"
"915","Chaperones","Phb","Pathway_Level3"
"916","OXPHOS","Atp5g1","Pathway_Level1"
"917","OXPHOS subunits","Atp5g3","Pathway_Level2"
"918","OXPHOS assembly factors","Cmc1","Pathway_Level2"
"919","Complex I","mt-Nd1","Pathway_Level2"
"920","CI subunits","Ndufa1","Pathway_Level3"
"921","CI assembly factors","Ndufaf1","Pathway_Level3"
"922","Complex II","Sdhd","Pathway_Level2"
"923","Complex III","Uqcc3","Pathway_Level2"
"924","CIII subunits","Uqcrfs1","Pathway_Level3"
"925","Complex IV","Coa7","Pathway_Level2"
"926","CIV subunits","Cox6b2","Pathway_Level3"
"927","CIV assembly factors","Coa7","Pathway_Level3"
"928","Complex V","Atp5g3","Pathway_Level2"
"929","CV subunits","Atp5g3","Pathway_Level3"
"930","Metabolism","Abhd11","Pathway_Level1"
"931","Carbohydrate metabolism","Bdh1","Pathway_Level2"
"932","Gluconeogenesis","Slc25a10","Pathway_Level3"
"933","Pyruvate metabolism","Pdhb","Pathway_Level3"
"934","TCA cycle","Idh3b","Pathway_Level3"
"935","TCA-associated","Me3","Pathway_Level3"
"936","Ketone metabolism","Oxct2a","Pathway_Level3"
"937","Lipid metabolism","Acad12","Pathway_Level2"
"938","Fatty acid oxidation","Acadm","Pathway_Level3"
"939","Type II fatty acid synthesis","Ndufab1","Pathway_Level3"
"940","Cardiolipin synthesis","Pld6","Pathway_Level3"
"941","Cholesterol, bile acid, steroid synthesis","H2-Ke6","Pathway_Level3"
"942","Phospholipid metabolism","Gpat2","Pathway_Level3"
"943","Amino acid metabolism","Adhfe1","Pathway_Level2"
"944","Branched-chain amino acid metabolism","Bckdhb","Pathway_Level3"
"945","Lysine metabolism","Dlst","Pathway_Level3"
"946","Glycine metabolism","Etfdh","Pathway_Level3"
"947","Glyoxylate metabolism","Prodh2","Pathway_Level3"
"948","Urea cycle","Slc25a2","Pathway_Level3"
"949","Nucleotide metabolism","Dguok","Pathway_Level2"
"950","Nucleotide import","Slc25a41","Pathway_Level3"
"951","Nucleotide synthesis and processing","Fhit","Pathway_Level3"
"952","Metals and cofactors","Alas2","Pathway_Level2"
"953","Coenzyme Q metabolism","Coq7","Pathway_Level3"
"954","Heme synthesis and processing","Cpox","Pathway_Level3"
"955","Fe-S cluster biosynthesis","Fdxr","Pathway_Level3"
"956","NAD biosynthesis and metabolism","Noct","Pathway_Level3"
"957","Fe-S-containing proteins","Dna2","Pathway_Level3"
"958","Heme-containing proteins","Cyp27b1","Pathway_Level3"
"959","Vitamin metabolism","Bco2","Pathway_Level2"
"960","Folate and 1-C metabolism","Gtpbp3","Pathway_Level3"
"961","Detoxification","Aldh2","Pathway_Level2"
"962","Xenobiotic metabolism","Bphl","Pathway_Level3"
"963","ROS and glutathione metabolism","Gpx4","Pathway_Level3"
"964","Electron carriers","Etfb","Pathway_Level2"
"965","Q-linked reactions, other","Gpd2","Pathway_Level3"
"966","Sulfur metabolism","Sqor","Pathway_Level2"
"967","Small molecule transport","Abcd3","Pathway_Level1"
"968","SLC25A family","Slc25a14","Pathway_Level2"
"969","ABC transporters","Abcd3","Pathway_Level2"
"970","Signaling","Dele1","Pathway_Level1"
"971","Calcium homeostasis","Ppif","Pathway_Level2"
"972","Calcium cycle","Slc8b1","Pathway_Level3"
"973","EF hand proteins","Slc25a13","Pathway_Level3"
"974","Mitochondrial dynamics and surveillance","Armc10","Pathway_Level1"
"975","Fusion","Opa1","Pathway_Level2"
"976","Fission","Mtfr1","Pathway_Level2"
"977","Organelle contact sites","Pigbos1","Pathway_Level2"
"978","Intramitochondrial membrane interactions","Slc25a46","Pathway_Level2"
"979","Mitophagy","Parl","Pathway_Level2"
"980","Autophagy","Park7","Pathway_Level2"
"981","Apoptosis","Bcl2","Pathway_Level2"
"982","Cristae formation","Immt","Pathway_Level2"
"983","Mitochondrial central dogma","Cdk5rap1","Pathway_Level1"
"984","mtDNA maintenance","Mterf1a","Pathway_Level2"
"985","mtDNA replication","Ssbp1","Pathway_Level3"
"986","mtDNA nucleoid","Ssbp1","Pathway_Level3"
"987","mtDNA repair","Ung","Pathway_Level3"
"988","mtRNA metabolism","Eral1","Pathway_Level2"
"989","Transcription","Top1mt","Pathway_Level3"
"990","mtRNA granules","Grsf1","Pathway_Level3"
"991","Polycistronic mtRNA processing","Prorp","Pathway_Level3"
"992","mt-tRNA modifications","Osgepl1","Pathway_Level3"
"993","mt-rRNA modifications","Ngrn","Pathway_Level3"
"994","mtRNA stability and decay","Lrpprc","Pathway_Level3"
"995","Translation","Dars2","Pathway_Level2"
"996","Mitochondrial ribosome","Mrpl13","Pathway_Level3"
"997","Mitochondrial ribosome assembly","Mief1","Pathway_Level3"
"998","Translation factors","Mtif2","Pathway_Level3"
"999","mt-tRNA synthetases","Hars2","Pathway_Level3"
"1000","Protein import, sorting and homeostasis","Casp8","Pathway_Level1"
"1001","Protein import and sorting","Grpel2","Pathway_Level2"
"1002","TOM","Tomm70a","Pathway_Level3"
"1003","Protein homeostasis","Clpb","Pathway_Level2"
"1004","Proteases","Clpp","Pathway_Level3"
"1005","Chaperones","Phb2","Pathway_Level3"
"1006","OXPHOS","Atp5g2","Pathway_Level1"
"1007","OXPHOS subunits","Atp5h","Pathway_Level2"
"1008","OXPHOS assembly factors","Cmc2","Pathway_Level2"
"1009","Complex I","mt-Nd2","Pathway_Level2"
"1010","CI subunits","Ndufa10","Pathway_Level3"
"1011","CI assembly factors","Ndufaf2","Pathway_Level3"
"1012","Complex III","Uqcr10","Pathway_Level2"
"1013","CIII subunits","Uqcrh","Pathway_Level3"
"1014","Complex IV","Coa8","Pathway_Level2"
"1015","CIV subunits","Cox6c","Pathway_Level3"
"1016","CIV assembly factors","Coa8","Pathway_Level3"
"1017","Complex V","Atp5h","Pathway_Level2"
"1018","CV subunits","Atp5h","Pathway_Level3"
"1019","Metabolism","Acaa1a","Pathway_Level1"
"1020","Carbohydrate metabolism","Clybl","Pathway_Level2"
"1021","Gluconeogenesis","Slc25a11","Pathway_Level3"
"1022","Pyruvate metabolism","Pdhx","Pathway_Level3"
"1023","TCA cycle","Idh3g","Pathway_Level3"
"1024","TCA-associated","Mpc1","Pathway_Level3"
"1025","Lipid metabolism","Acadl","Pathway_Level2"
"1026","Fatty acid oxidation","Acads","Pathway_Level3"
"1027","Type II fatty acid synthesis","Oxsm","Pathway_Level3"
"1028","Cardiolipin synthesis","Plscr3","Pathway_Level3"
"1029","Cholesterol, bile acid, steroid synthesis","Hint2","Pathway_Level3"
"1030","Phospholipid metabolism","Lactb","Pathway_Level3"
"1031","Amino acid metabolism","Agmat","Pathway_Level2"
"1032","Branched-chain amino acid metabolism","Bckdk","Pathway_Level3"
"1033","Lysine metabolism","Echs1","Pathway_Level3"
"1034","Glycine metabolism","Gcat","Pathway_Level3"
"1035","Nucleotide metabolism","Dhodh","Pathway_Level2"
"1036","Nucleotide import","Slc25a5","Pathway_Level3"
"1037","Nucleotide synthesis and processing","Guk1","Pathway_Level3"
"1038","Metals and cofactors","Bola1","Pathway_Level2"
"1039","Coenzyme Q metabolism","Coq8a","Pathway_Level3"
"1040","Heme synthesis and processing","Fabp1","Pathway_Level3"
"1041","Fe-S cluster biosynthesis","Fxn","Pathway_Level3"
"1042","NAD biosynthesis and metabolism","Nudt13","Pathway_Level3"
"1043","Fe-S-containing proteins","Etfdh","Pathway_Level3"
"1044","Heme-containing proteins","mt-Co1","Pathway_Level3"
"1045","Vitamin metabolism","Chdh","Pathway_Level2"
"1046","Folate and 1-C metabolism","Mtfmt","Pathway_Level3"
"1047","Detoxification","Aldh3a2","Pathway_Level2"
"1048","Xenobiotic metabolism","Cbr3","Pathway_Level3"
"1049","ROS and glutathione metabolism","Gsr","Pathway_Level3"
"1050","Electron carriers","Etfbkmt","Pathway_Level2"
"1051","Q-linked reactions, other","Prodh","Pathway_Level3"
"1052","Sulfur metabolism","Suox","Pathway_Level2"
"1053","Small molecule transport","Ccdc51","Pathway_Level1"
"1054","SLC25A family","Slc25a15","Pathway_Level2"
"1055","Signaling","Efhd1","Pathway_Level1"
"1056","Calcium homeostasis","Rhot1","Pathway_Level2"
"1057","Calcium cycle","Smdt1","Pathway_Level3"
"1058","EF hand proteins","Slc25a23","Pathway_Level3"
"1059","Mitochondrial dynamics and surveillance","Armcx1","Pathway_Level1"
"1060","Fusion","Pld6","Pathway_Level2"
"1061","Fission","Mtfr2","Pathway_Level2"
"1062","Organelle contact sites","Rmdn3","Pathway_Level2"
"1063","Mitophagy","Pgam5","Pathway_Level2"
"1064","Autophagy","Parl","Pathway_Level2"
"1065","Apoptosis","Bcl2a1d","Pathway_Level2"
"1066","Cristae formation","Micos10","Pathway_Level2"
"1067","Mitochondrial central dogma","Chchd1","Pathway_Level1"
"1068","mtDNA maintenance","Mterf1b","Pathway_Level2"
"1069","mtDNA replication","Tfam","Pathway_Level3"
"1070","mtDNA nucleoid","Tfam","Pathway_Level3"
"1071","mtRNA metabolism","Fastk","Pathway_Level2"
"1072","mtRNA granules","Hsd17b10","Pathway_Level3"
"1073","Polycistronic mtRNA processing","Ptcd2","Pathway_Level3"
"1074","mt-tRNA modifications","Pus1","Pathway_Level3"
"1075","mt-rRNA modifications","Nsun4","Pathway_Level3"
"1076","mtRNA stability and decay","Mtpap","Pathway_Level3"
"1077","Translation","Ddx28","Pathway_Level2"
"1078","Mitochondrial ribosome","Mrpl14","Pathway_Level3"
"1079","Mitochondrial ribosome assembly","Mpv17l2","Pathway_Level3"
"1080","Translation factors","Mtif3","Pathway_Level3"
"1081","mt-tRNA synthetases","Iars2","Pathway_Level3"
"1082","Protein import, sorting and homeostasis","Casp9","Pathway_Level1"
"1083","Protein import and sorting","Immp1l","Pathway_Level2"
"1084","Protein homeostasis","Clpp","Pathway_Level2"
"1085","Proteases","Clpx","Pathway_Level3"
"1086","Chaperones","Timm10","Pathway_Level3"
"1087","OXPHOS","Atp5g3","Pathway_Level1"
"1088","OXPHOS subunits","Atp5j","Pathway_Level2"
"1089","OXPHOS assembly factors","Coa3","Pathway_Level2"
"1090","Complex I","mt-Nd3","Pathway_Level2"
"1091","CI subunits","Ndufa11","Pathway_Level3"
"1092","CI assembly factors","Ndufaf3","Pathway_Level3"
"1093","Complex III","Uqcr11","Pathway_Level2"
"1094","CIII subunits","Uqcrq","Pathway_Level3"
"1095","Complex IV","Cox10","Pathway_Level2"
"1096","CIV subunits","Cox7a1","Pathway_Level3"
"1097","CIV assembly factors","Cox10","Pathway_Level3"
"1098","Complex V","Atp5j","Pathway_Level2"
"1099","CV subunits","Atp5j","Pathway_Level3"
"1100","Metabolism","Acaa1b","Pathway_Level1"
"1101","Carbohydrate metabolism","Cs","Pathway_Level2"
"1102","Pyruvate metabolism","Pdk1","Pathway_Level3"
"1103","TCA cycle","Mdh2","Pathway_Level3"
"1104","TCA-associated","Mpc2","Pathway_Level3"
"1105","Lipid metabolism","Acadm","Pathway_Level2"
"1106","Fatty acid oxidation","Acadsb","Pathway_Level3"
"1107","Cardiolipin synthesis","Pnpla8","Pathway_Level3"
"1108","Cholesterol, bile acid, steroid synthesis","Hsd17b10","Pathway_Level3"
"1109","Phospholipid metabolism","Osbpl1a","Pathway_Level3"
"1110","Amino acid metabolism","Agxt","Pathway_Level2"
"1111","Branched-chain amino acid metabolism","Dbt","Pathway_Level3"
"1112","Lysine metabolism","Etfa","Pathway_Level3"
"1113","Glycine metabolism","Gcsh","Pathway_Level3"
"1114","Nucleotide metabolism","Dut","Pathway_Level2"
"1115","Nucleotide synthesis and processing","Hint1","Pathway_Level3"
"1116","Metals and cofactors","Bola3","Pathway_Level2"
"1117","Coenzyme Q metabolism","Coq8b","Pathway_Level3"
"1118","Heme synthesis and processing","Fdx1","Pathway_Level3"
"1119","Fe-S cluster biosynthesis","Glrx5","Pathway_Level3"
"1120","NAD biosynthesis and metabolism","Sirt3","Pathway_Level3"
"1121","Fe-S-containing proteins","Fdx1","Pathway_Level3"
"1122","Heme-containing proteins","mt-Cytb","Pathway_Level3"
"1123","Vitamin metabolism","Cyp24a1","Pathway_Level2"
"1124","Folate and 1-C metabolism","Mthfd1l","Pathway_Level3"
"1125","Detoxification","Aldh7a1","Pathway_Level2"
"1126","Xenobiotic metabolism","Cyb5b","Pathway_Level3"
"1127","ROS and glutathione metabolism","Hagh","Pathway_Level3"
"1128","Electron carriers","Etfdh","Pathway_Level2"
"1129","Q-linked reactions, other","Prodh2","Pathway_Level3"
"1130","Sulfur metabolism","Tst","Pathway_Level2"
"1131","Small molecule transport","Gm4984","Pathway_Level1"
"1132","SLC25A family","Slc25a16","Pathway_Level2"
"1133","Signaling","Fundc2","Pathway_Level1"
"1134","Calcium homeostasis","Rhot2","Pathway_Level2"
"1135","EF hand proteins","Slc25a24","Pathway_Level3"
"1136","Mitochondrial dynamics and surveillance","Armcx3","Pathway_Level1"
"1137","Fission","Mul1","Pathway_Level2"
"1138","Organelle contact sites","Spire1","Pathway_Level2"
"1139","Mitophagy","Pink1","Pathway_Level2"
"1140","Autophagy","Pgam5","Pathway_Level2"
"1141","Apoptosis","Bcl2l1","Pathway_Level2"
"1142","Cristae formation","Micos13","Pathway_Level2"
"1143","Mitochondrial central dogma","Coa3","Pathway_Level1"
"1144","mtDNA maintenance","Mterf2","Pathway_Level2"
"1145","mtDNA replication","Tfb2m","Pathway_Level3"
"1146","mtDNA nucleoid","Twnk","Pathway_Level3"
"1147","mtRNA metabolism","Fastkd1","Pathway_Level2"
"1148","mtRNA granules","Mrm1","Pathway_Level3"
"1149","Polycistronic mtRNA processing","Tbrg4","Pathway_Level3"
"1150","mt-tRNA modifications","Qtrt1","Pathway_Level3"
"1151","mt-rRNA modifications","Rcc1l","Pathway_Level3"
"1152","mtRNA stability and decay","Pde12","Pathway_Level3"
"1153","Translation","Dhx30","Pathway_Level2"
"1154","Mitochondrial ribosome","Mrpl15","Pathway_Level3"
"1155","Mitochondrial ribosome assembly","Mrm2","Pathway_Level3"
"1156","Translation factors","Mtrf1","Pathway_Level3"
"1157","mt-tRNA synthetases","Kars","Pathway_Level3"
"1158","Protein import, sorting and homeostasis","Chchd4","Pathway_Level1"
"1159","Protein import and sorting","Immp2l","Pathway_Level2"
"1160","Protein homeostasis","Clpx","Pathway_Level2"
"1161","Proteases","Htra2","Pathway_Level3"
"1162","Chaperones","Timm10b","Pathway_Level3"
"1163","OXPHOS","Atp5h","Pathway_Level1"
"1164","OXPHOS subunits","Atp5j2","Pathway_Level2"
"1165","OXPHOS assembly factors","Coa4","Pathway_Level2"
"1166","Complex I","mt-Nd4","Pathway_Level2"
"1167","CI subunits","Ndufa12","Pathway_Level3"
"1168","CI assembly factors","Ndufaf4","Pathway_Level3"
"1169","Complex III","Uqcrb","Pathway_Level2"
"1170","Complex IV","Cox11","Pathway_Level2"
"1171","CIV subunits","Cox7a2","Pathway_Level3"
"1172","CIV assembly factors","Cox11","Pathway_Level3"
"1173","Complex V","Atp5j2","Pathway_Level2"
"1174","CV subunits","Atp5j2","Pathway_Level3"
"1175","Metabolism","Acaa2","Pathway_Level1"
"1176","Carbohydrate metabolism","D2hgdh","Pathway_Level2"
"1177","Pyruvate metabolism","Pdk2","Pathway_Level3"
"1178","TCA cycle","Mrps36","Pathway_Level3"
"1179","TCA-associated","Pck2","Pathway_Level3"
"1180","Lipid metabolism","Acads","Pathway_Level2"
"1181","Fatty acid oxidation","Acadvl","Pathway_Level3"
"1182","Cardiolipin synthesis","Prelid1","Pathway_Level3"
"1183","Cholesterol, bile acid, steroid synthesis","Osbpl1a","Pathway_Level3"
"1184","Phospholipid metabolism","Pgs1","Pathway_Level3"
"1185","Amino acid metabolism","Agxt2","Pathway_Level2"
"1186","Branched-chain amino acid metabolism","Dld","Pathway_Level3"
"1187","Lysine metabolism","Etfb","Pathway_Level3"
"1188","Glycine metabolism","Gldc","Pathway_Level3"
"1189","Nucleotide metabolism","Fhit","Pathway_Level2"
"1190","Nucleotide synthesis and processing","Nme3","Pathway_Level3"
"1191","Metals and cofactors","Chchd7","Pathway_Level2"
"1192","Coenzyme Q metabolism","Coq9","Pathway_Level3"
"1193","Heme synthesis and processing","Fdx2","Pathway_Level3"
"1194","Fe-S cluster biosynthesis","Grpel1","Pathway_Level3"
"1195","NAD biosynthesis and metabolism","Sirt4","Pathway_Level3"
"1196","Fe-S-containing proteins","Fdx2","Pathway_Level3"
"1197","Heme-containing proteins","Sdhc","Pathway_Level3"
"1198","Vitamin metabolism","Cyp27b1","Pathway_Level2"
"1199","Folate and 1-C metabolism","Mthfd2","Pathway_Level3"
"1200","Detoxification","Aldh9a1","Pathway_Level2"
"1201","Xenobiotic metabolism","Cyb5r3","Pathway_Level3"
"1202","ROS and glutathione metabolism","Mgst1","Pathway_Level3"
"1203","Electron carriers","Etfrf1","Pathway_Level2"
"1204","Q-linked reactions, other","Sqor","Pathway_Level3"
"1205","Sulfur metabolism","Tstd1","Pathway_Level2"
"1206","Small molecule transport","Letmd1","Pathway_Level1"
"1207","SLC25A family","Slc25a18","Pathway_Level2"
"1208","Signaling","Ifi27","Pathway_Level1"
"1209","Calcium homeostasis","Slc25a12","Pathway_Level2"
"1210","EF hand proteins","Slc25a25","Pathway_Level3"
"1211","Mitochondrial dynamics and surveillance","Atad3a","Pathway_Level1"
"1212","Fission","Oma1","Pathway_Level2"
"1213","Organelle contact sites","Stx17","Pathway_Level2"
"1214","Mitophagy","Prkn","Pathway_Level2"
"1215","Autophagy","Pink1","Pathway_Level2"
"1216","Apoptosis","Bcl2l10","Pathway_Level2"
"1217","Cristae formation","Opa1","Pathway_Level2"
"1218","Mitochondrial central dogma","Cox14","Pathway_Level1"
"1219","mtDNA maintenance","Mutyh","Pathway_Level2"
"1220","mtDNA replication","Top1mt","Pathway_Level3"
"1221","mtRNA metabolism","Fastkd2","Pathway_Level2"
"1222","mtRNA granules","Mrm2","Pathway_Level3"
"1223","Polycistronic mtRNA processing","Trmt10c","Pathway_Level3"
"1224","mt-tRNA modifications","Rpusd4","Pathway_Level3"
"1225","mt-rRNA modifications","Rpusd3","Pathway_Level3"
"1226","mtRNA stability and decay","Pnpt1","Pathway_Level3"
"1227","Translation","Ears2","Pathway_Level2"
"1228","Mitochondrial ribosome","Mrpl16","Pathway_Level3"
"1229","Mitochondrial ribosome assembly","Mrm3","Pathway_Level3"
"1230","Translation factors","Mtrf1l","Pathway_Level3"
"1231","mt-tRNA synthetases","Lars2","Pathway_Level3"
"1232","Protein import, sorting and homeostasis","Clpb","Pathway_Level1"
"1233","Protein import and sorting","Mipep","Pathway_Level2"
"1234","Protein homeostasis","Dnaja3","Pathway_Level2"
"1235","Proteases","Ide","Pathway_Level3"
"1236","Chaperones","Timm13","Pathway_Level3"
"1237","OXPHOS","Atp5j","Pathway_Level1"
"1238","OXPHOS subunits","Atp5k","Pathway_Level2"
"1239","OXPHOS assembly factors","Coa5","Pathway_Level2"
"1240","Complex I","mt-Nd4l","Pathway_Level2"
"1241","CI subunits","Ndufa13","Pathway_Level3"
"1242","CI assembly factors","Ndufaf5","Pathway_Level3"
"1243","Complex III","Uqcrc1","Pathway_Level2"
"1244","Complex IV","Cox14","Pathway_Level2"
"1245","CIV subunits","Cox7a2l","Pathway_Level3"
"1246","CIV assembly factors","Cox14","Pathway_Level3"
"1247","Complex V","Atp5k","Pathway_Level2"
"1248","CV subunits","Atp5k","Pathway_Level3"
"1249","Metabolism","Acaca","Pathway_Level1"
"1250","Carbohydrate metabolism","Dcxr","Pathway_Level2"
"1251","Pyruvate metabolism","Pdk3","Pathway_Level3"
"1252","TCA cycle","Ogdh","Pathway_Level3"
"1253","TCA-associated","Pcx","Pathway_Level3"
"1254","Lipid metabolism","Acadsb","Pathway_Level2"
"1255","Fatty acid oxidation","Acat1","Pathway_Level3"
"1256","Cardiolipin synthesis","Prelid3a","Pathway_Level3"
"1257","Cholesterol, bile acid, steroid synthesis","Scp2","Pathway_Level3"
"1258","Phospholipid metabolism","Pisd","Pathway_Level3"
"1259","Amino acid metabolism","Akr7a5","Pathway_Level2"
"1260","Branched-chain amino acid metabolism","Echs1","Pathway_Level3"
"1261","Lysine metabolism","Etfdh","Pathway_Level3"
"1262","Glycine metabolism","Glyat","Pathway_Level3"
"1263","Nucleotide metabolism","Gatm","Pathway_Level2"
"1264","Nucleotide synthesis and processing","Nme4","Pathway_Level3"
"1265","Metals and cofactors","Cisd1","Pathway_Level2"
"1266","Coenzyme Q metabolism","Pdss1","Pathway_Level3"
"1267","Heme synthesis and processing","Fdxr","Pathway_Level3"
"1268","Fe-S cluster biosynthesis","Grpel2","Pathway_Level3"
"1269","NAD biosynthesis and metabolism","Sirt5","Pathway_Level3"
"1270","Fe-S-containing proteins","Fech","Pathway_Level3"
"1271","Heme-containing proteins","Sdhd","Pathway_Level3"
"1272","Vitamin metabolism","Dhrs4","Pathway_Level2"
"1273","Folate and 1-C metabolism","Mthfd2l","Pathway_Level3"
"1274","Detoxification","Bphl","Pathway_Level2"
"1275","Xenobiotic metabolism","Dhrs2","Pathway_Level3"
"1276","ROS and glutathione metabolism","Msra","Pathway_Level3"
"1277","Electron carriers","Gpd2","Pathway_Level2"
"1278","Small molecule transport","Mcu","Pathway_Level1"
"1279","SLC25A family","Slc25a19","Pathway_Level2"
"1280","Signaling","Letm1","Pathway_Level1"
"1281","Calcium homeostasis","Slc25a13","Pathway_Level2"
"1282","Mitochondrial dynamics and surveillance","Atp5k","Pathway_Level1"
"1283","Fission","Rab24","Pathway_Level2"
"1284","Organelle contact sites","Synj2bp","Pathway_Level2"
"1285","Mitophagy","Tomm7","Pathway_Level2"
"1286","Autophagy","Prkn","Pathway_Level2"
"1287","Apoptosis","Bcl2l11","Pathway_Level2"
"1288","Mitochondrial central dogma","Dap3","Pathway_Level1"
"1289","mtDNA maintenance","Ogg1","Pathway_Level2"
"1290","mtDNA replication","Top3a","Pathway_Level3"
"1291","mtRNA metabolism","Fastkd3","Pathway_Level2"
"1292","mtRNA granules","Mrpl47","Pathway_Level3"
"1293","Polycistronic mtRNA processing","Ybey","Pathway_Level3"
"1294","mt-tRNA modifications","Thg1l","Pathway_Level3"
"1295","mt-rRNA modifications","Rpusd4","Pathway_Level3"
"1296","mtRNA stability and decay","Rexo2","Pathway_Level3"
"1297","Translation","Eral1","Pathway_Level2"
"1298","Mitochondrial ribosome","Mrpl17","Pathway_Level3"
"1299","Mitochondrial ribosome assembly","Mterf1a","Pathway_Level3"
"1300","Translation factors","Taco1","Pathway_Level3"
"1301","mt-tRNA synthetases","Mars2","Pathway_Level3"
"1302","Protein import, sorting and homeostasis","Clpp","Pathway_Level1"
"1303","Protein import and sorting","Mtx1","Pathway_Level2"
"1304","Protein homeostasis","Dnajc4","Pathway_Level2"
"1305","Proteases","Immp1l","Pathway_Level3"
"1306","Chaperones","Timm8a1","Pathway_Level3"
"1307","OXPHOS","Atp5j2","Pathway_Level1"
"1308","OXPHOS subunits","Atp5l","Pathway_Level2"
"1309","OXPHOS assembly factors","Coa6","Pathway_Level2"
"1310","Complex I","mt-Nd5","Pathway_Level2"
"1311","CI subunits","Ndufa2","Pathway_Level3"
"1312","CI assembly factors","Ndufaf6","Pathway_Level3"
"1313","Complex III","Uqcrc2","Pathway_Level2"
"1314","Complex IV","Cox15","Pathway_Level2"
"1315","CIV subunits","Cox7b","Pathway_Level3"
"1316","CIV assembly factors","Cox15","Pathway_Level3"
"1317","Complex V","Atp5l","Pathway_Level2"
"1318","CV subunits","Atp5l","Pathway_Level3"
"1319","Metabolism","Acacb","Pathway_Level1"
"1320","Carbohydrate metabolism","Dlat","Pathway_Level2"
"1321","Pyruvate metabolism","Pdk4","Pathway_Level3"
"1322","TCA cycle","Ogdhl","Pathway_Level3"
"1323","TCA-associated","Sfxn5","Pathway_Level3"
"1324","Lipid metabolism","Acadvl","Pathway_Level2"
"1325","Fatty acid oxidation","Acot11","Pathway_Level3"
"1326","Cardiolipin synthesis","Ptpmt1","Pathway_Level3"
"1327","Cholesterol, bile acid, steroid synthesis","Star","Pathway_Level3"
"1328","Phospholipid metabolism","Pnpla8","Pathway_Level3"
"1329","Amino acid metabolism","Aldh18a1","Pathway_Level2"
"1330","Branched-chain amino acid metabolism","Etfa","Pathway_Level3"
"1331","Lysine metabolism","Gcdh","Pathway_Level3"
"1332","Glycine metabolism","Sardh","Pathway_Level3"
