"","Pathway","Gene","Level"
"955","Fe-S cluster biosynthesis","FDXR","Pathway_Level3"
"956","NAD biosynthesis and metabolism","NOCT","Pathway_Level3"
"957","Fe-S-containing proteins","DNA2","Pathway_Level3"
"958","Heme-containing proteins","CYP27A1","Pathway_Level3"
"959","Vitamin metabolism","BCO2","Pathway_Level2"
"960","Folate and 1-C metabolism","GTPBP3","Pathway_Level3"
"961","Detoxification","ALDH2","Pathway_Level2"
"962","Xenobiotic metabolism","BPHL","Pathway_Level3"
"963","ROS and glutathione metabolism","GPX4","Pathway_Level3"
"964","Electron carriers","ETFBKMT","Pathway_Level2"
"965","Q-linked reactions, other","GPD2","Pathway_Level3"
"966","Sulfur metabolism","SQOR","Pathway_Level2"
"967","Small molecule transport","ABCD3","Pathway_Level1"
"968","SLC25A family","SLC25A14","Pathway_Level2"
"969","ABC transporters","ABCD3","Pathway_Level2"
"970","Signaling","DELE1","Pathway_Level1"
"971","Calcium homeostasis","PPIF","Pathway_Level2"
"972","Calcium cycle","SLC8B1","Pathway_Level3"
"973","EF hand proteins","SLC25A13","Pathway_Level3"
"974","Mitochondrial dynamics and surveillance","ARMC10","Pathway_Level1"
"975","Fusion","OPA1","Pathway_Level2"
"976","Fission","MTFR1","Pathway_Level2"
"977","Organelle contact sites","MIGA2","Pathway_Level2"
"978","Intramitochondrial membrane interactions","SAMM50","Pathway_Level2"
"979","Mitophagy","PARL","Pathway_Level2"
"980","Autophagy","PARK7","Pathway_Level2"
"981","Apoptosis","BCL2","Pathway_Level2"
"982","Cristae formation","IMMT","Pathway_Level2"
"983","Mitochondrial central dogma","CARS2","Pathway_Level1"
"984","mtDNA maintenance","MGME1","Pathway_Level2"
"985","mtDNA replication","SSBP1","Pathway_Level3"
"986","mtDNA nucleoid","SSBP1","Pathway_Level3"
"987","mtDNA repair","UNG","Pathway_Level3"
"988","mtRNA metabolism","ERAL1","Pathway_Level2"
"989","mtRNA granules","GRSF1","Pathway_Level3"
"990","Polycistronic mtRNA processing","PRORP","Pathway_Level3"
"991","mt-tRNA modifications","OSGEPL1","Pathway_Level3"
"992","mt-rRNA modifications","NGRN","Pathway_Level3"
"993","mtRNA stability and decay","LRPPRC","Pathway_Level3"
"994","Translation","DARS2","Pathway_Level2"
"995","Mitochondrial ribosome","MRPL13","Pathway_Level3"
"996","Mitochondrial ribosome assembly","MIEF1","Pathway_Level3"
"997","Translation factors","MTIF2","Pathway_Level3"
"998","mt-tRNA synthetases","HARS2","Pathway_Level3"
"999","Protein import, sorting and homeostasis","CASP9","Pathway_Level1"
"1000","Protein import and sorting","GRPEL2","Pathway_Level2"
"1001","TOM","TOMM70","Pathway_Level3"
"1002","Protein homeostasis","CLPP","Pathway_Level2"
"1003","Proteases","CLPX","Pathway_Level3"
"1004","Chaperones","PHB2","Pathway_Level3"
"1005","OXPHOS","ATP5MC1","Pathway_Level1"
"1006","OXPHOS subunits","ATP5MC3","Pathway_Level2"
"1007","OXPHOS assembly factors","CMC2","Pathway_Level2"
"1008","Complex I","MT-ND1","Pathway_Level2"
"1009","CI subunits","NDUFA10","Pathway_Level3"
"1010","CI assembly factors","NDUFAF1","Pathway_Level3"
"1011","Complex III","UQCR10","Pathway_Level2"
"1012","CIII subunits","UQCRH","Pathway_Level3"
"1013","Complex IV","COA7","Pathway_Level2"
"1014","CIV subunits","COX6C","Pathway_Level3"
"1015","CIV assembly factors","COA7","Pathway_Level3"
"1016","Complex V","ATP5MC3","Pathway_Level2"
"1017","CV subunits","ATP5MC3","Pathway_Level3"
"1018","Metabolism","ACAA1","Pathway_Level1"
"1019","Carbohydrate metabolism","CLYBL","Pathway_Level2"
"1020","Gluconeogenesis","SLC25A11","Pathway_Level3"
"1021","Pyruvate metabolism","PDHX","Pathway_Level3"
"1022","TCA cycle","IDH3G","Pathway_Level3"
"1023","TCA-associated","MPC1L","Pathway_Level3"
"1024","Lipid metabolism","ACADS","Pathway_Level2"
"1025","Fatty acid oxidation","ACADVL","Pathway_Level3"
"1026","Type II fatty acid synthesis","OXSM","Pathway_Level3"
"1027","Cardiolipin synthesis","PLSCR3","Pathway_Level3"
"1028","Cholesterol, bile acid, steroid synthesis","HSD17B10","Pathway_Level3"
"1029","Phospholipid metabolism","OSBPL1A","Pathway_Level3"
"1030","Amino acid metabolism","AGMAT","Pathway_Level2"
"1031","Branched-chain amino acid metabolism","BCKDK","Pathway_Level3"
"1032","Lysine metabolism","ECHS1","Pathway_Level3"
"1033","Glycine metabolism","GCAT","Pathway_Level3"
"1034","Nucleotide metabolism","DGUOK","Pathway_Level2"
"1035","Nucleotide import","SLC25A5","Pathway_Level3"
"1036","Nucleotide synthesis and processing","FHIT","Pathway_Level3"
"1037","Metals and cofactors","BOLA1","Pathway_Level2"
"1038","Coenzyme Q metabolism","COQ8A","Pathway_Level3"
"1039","Heme synthesis and processing","FABP1","Pathway_Level3"
"1040","Fe-S cluster biosynthesis","FXN","Pathway_Level3"
"1041","NAD biosynthesis and metabolism","NUDT13","Pathway_Level3"
"1042","Fe-S-containing proteins","ETFDH","Pathway_Level3"
"1043","Heme-containing proteins","CYP27B1","Pathway_Level3"
"1044","Vitamin metabolism","CHDH","Pathway_Level2"
"1045","Folate and 1-C metabolism","MTFMT","Pathway_Level3"
"1046","Detoxification","ALDH3A2","Pathway_Level2"
"1047","Xenobiotic metabolism","CBR3","Pathway_Level3"
"1048","ROS and glutathione metabolism","GSR","Pathway_Level3"
"1049","Electron carriers","ETFDH","Pathway_Level2"
"1050","Q-linked reactions, other","PRODH","Pathway_Level3"
"1051","Sulfur metabolism","SUOX","Pathway_Level2"
"1052","Small molecule transport","CCDC51","Pathway_Level1"
"1053","SLC25A family","SLC25A15","Pathway_Level2"
"1054","Signaling","EFHD1","Pathway_Level1"
"1055","Calcium homeostasis","RHOT1","Pathway_Level2"
"1056","Calcium cycle","SMDT1","Pathway_Level3"
"1057","EF hand proteins","SLC25A23","Pathway_Level3"
"1058","Mitochondrial dynamics and surveillance","ARMCX1","Pathway_Level1"
"1059","Fusion","PLD6","Pathway_Level2"
"1060","Fission","MTFR2","Pathway_Level2"
"1061","Organelle contact sites","PIGBOS1","Pathway_Level2"
"1062","Intramitochondrial membrane interactions","SLC25A46","Pathway_Level2"
"1063","Mitophagy","PGAM5","Pathway_Level2"
"1064","Autophagy","PARL","Pathway_Level2"
"1065","Apoptosis","BCL2A1","Pathway_Level2"
"1066","Cristae formation","MICOS10","Pathway_Level2"
"1067","Mitochondrial central dogma","CDK5RAP1","Pathway_Level1"
"1068","mtDNA maintenance","MTERF1","Pathway_Level2"
"1069","mtDNA replication","TFAM","Pathway_Level3"
"1070","mtDNA nucleoid","TFAM","Pathway_Level3"
"1071","mtRNA metabolism","FASTK","Pathway_Level2"
"1072","mtRNA granules","HSD17B10","Pathway_Level3"
"1073","Polycistronic mtRNA processing","PTCD2","Pathway_Level3"
"1074","mt-tRNA modifications","PUS1","Pathway_Level3"
"1075","mt-rRNA modifications","NSUN4","Pathway_Level3"
"1076","mtRNA stability and decay","MTPAP","Pathway_Level3"
"1077","Translation","DDX28","Pathway_Level2"
"1078","Mitochondrial ribosome","MRPL14","Pathway_Level3"
"1079","Mitochondrial ribosome assembly","MPV17L2","Pathway_Level3"
"1080","Translation factors","MTIF3","Pathway_Level3"
"1081","mt-tRNA synthetases","IARS2","Pathway_Level3"
"1082","Protein import, sorting and homeostasis","CHCHD4","Pathway_Level1"
"1083","Protein import and sorting","IMMP1L","Pathway_Level2"
"1084","Protein homeostasis","CLPX","Pathway_Level2"
"1085","Proteases","HTRA2","Pathway_Level3"
"1086","Chaperones","TIMM10","Pathway_Level3"
"1087","OXPHOS","ATP5MC2","Pathway_Level1"
"1088","OXPHOS subunits","ATP5MD","Pathway_Level2"
"1089","OXPHOS assembly factors","COA1","Pathway_Level2"
"1090","Complex I","MT-ND2","Pathway_Level2"
"1091","CI subunits","NDUFA11","Pathway_Level3"
"1092","CI assembly factors","NDUFAF2","Pathway_Level3"
"1093","Complex III","UQCR11","Pathway_Level2"
"1094","CIII subunits","UQCRQ","Pathway_Level3"
"1095","Complex IV","COA8","Pathway_Level2"
"1096","CIV subunits","COX7A1","Pathway_Level3"
"1097","CIV assembly factors","COA8","Pathway_Level3"
"1098","Complex V","ATP5MD","Pathway_Level2"
"1099","CV subunits","ATP5MD","Pathway_Level3"
"1100","Metabolism","ACAA2","Pathway_Level1"
"1101","Carbohydrate metabolism","CS","Pathway_Level2"
"1102","Pyruvate metabolism","PDK1","Pathway_Level3"
"1103","TCA cycle","MDH2","Pathway_Level3"
"1104","TCA-associated","MPC2","Pathway_Level3"
"1105","Lipid metabolism","ACADSB","Pathway_Level2"
"1106","Fatty acid oxidation","ACAT1","Pathway_Level3"
"1107","Cardiolipin synthesis","PNPLA8","Pathway_Level3"
"1108","Cholesterol, bile acid, steroid synthesis","HSD17B8","Pathway_Level3"
"1109","Phospholipid metabolism","PGS1","Pathway_Level3"
"1110","Amino acid metabolism","AGXT","Pathway_Level2"
"1111","Branched-chain amino acid metabolism","DBT","Pathway_Level3"
"1112","Lysine metabolism","ETFA","Pathway_Level3"
"1113","Glycine metabolism","GCSH","Pathway_Level3"
"1114","Nucleotide metabolism","DHODH","Pathway_Level2"
"1115","Nucleotide import","SLC25A6","Pathway_Level3"
"1116","Nucleotide synthesis and processing","GUK1","Pathway_Level3"
"1117","Metals and cofactors","BOLA3","Pathway_Level2"
"1118","Coenzyme Q metabolism","COQ8B","Pathway_Level3"
"1119","Heme synthesis and processing","FDX1","Pathway_Level3"
"1120","Fe-S cluster biosynthesis","GLRX5","Pathway_Level3"
"1121","NAD biosynthesis and metabolism","SIRT3","Pathway_Level3"
"1122","Fe-S-containing proteins","FDX1","Pathway_Level3"
"1123","Heme-containing proteins","MT-CO1","Pathway_Level3"
"1124","Vitamin metabolism","CYP24A1","Pathway_Level2"
"1125","Folate and 1-C metabolism","MTHFD1L","Pathway_Level3"
"1126","Detoxification","ALDH7A1","Pathway_Level2"
"1127","Xenobiotic metabolism","CYB5B","Pathway_Level3"
"1128","ROS and glutathione metabolism","HAGH","Pathway_Level3"
"1129","Electron carriers","ETFRF1","Pathway_Level2"
"1130","Q-linked reactions, other","PRODH2","Pathway_Level3"
"1131","Sulfur metabolism","TST","Pathway_Level2"
"1132","Small molecule transport","LETMD1","Pathway_Level1"
"1133","SLC25A family","SLC25A16","Pathway_Level2"
"1134","Signaling","FUNDC2","Pathway_Level1"
"1135","Calcium homeostasis","RHOT2","Pathway_Level2"
"1136","EF hand proteins","SLC25A24","Pathway_Level3"
"1137","Mitochondrial dynamics and surveillance","ARMCX3","Pathway_Level1"
"1138","Fission","MUL1","Pathway_Level2"
"1139","Organelle contact sites","RMDN3","Pathway_Level2"
"1140","Mitophagy","PINK1","Pathway_Level2"
"1141","Autophagy","PGAM5","Pathway_Level2"
"1142","Apoptosis","BCL2L1","Pathway_Level2"
"1143","Cristae formation","MICOS13","Pathway_Level2"
"1144","Mitochondrial central dogma","CHCHD1","Pathway_Level1"
"1145","mtDNA maintenance","MTERF2","Pathway_Level2"
"1146","mtDNA replication","TFB2M","Pathway_Level3"
"1147","mtDNA nucleoid","TWNK","Pathway_Level3"
"1148","mtRNA metabolism","FASTKD1","Pathway_Level2"
"1149","mtRNA granules","MRM1","Pathway_Level3"
"1150","Polycistronic mtRNA processing","TBRG4","Pathway_Level3"
"1151","mt-tRNA modifications","QTRT1","Pathway_Level3"
"1152","mt-rRNA modifications","RCC1L","Pathway_Level3"
"1153","mtRNA stability and decay","PDE12","Pathway_Level3"
"1154","Translation","DHX30","Pathway_Level2"
"1155","Mitochondrial ribosome","MRPL15","Pathway_Level3"
"1156","Mitochondrial ribosome assembly","MRM2","Pathway_Level3"
"1157","Translation factors","MTRF1","Pathway_Level3"
"1158","mt-tRNA synthetases","KARS1","Pathway_Level3"
"1159","Protein import, sorting and homeostasis","CLPB","Pathway_Level1"
"1160","Protein import and sorting","IMMP2L","Pathway_Level2"
"1161","Protein homeostasis","DNAJA3","Pathway_Level2"
"1162","Proteases","IDE","Pathway_Level3"
"1163","Chaperones","TIMM10B","Pathway_Level3"
"1164","OXPHOS","ATP5MC3","Pathway_Level1"
"1165","OXPHOS subunits","ATP5ME","Pathway_Level2"
"1166","OXPHOS assembly factors","COA3","Pathway_Level2"
"1167","Complex I","MT-ND3","Pathway_Level2"
"1168","CI subunits","NDUFA12","Pathway_Level3"
"1169","CI assembly factors","NDUFAF3","Pathway_Level3"
"1170","Complex III","UQCRB","Pathway_Level2"
"1171","Complex IV","COX10","Pathway_Level2"
"1172","CIV subunits","COX7A2","Pathway_Level3"
"1173","CIV assembly factors","COX10","Pathway_Level3"
"1174","Complex V","ATP5ME","Pathway_Level2"
"1175","CV subunits","ATP5ME","Pathway_Level3"
"1176","Metabolism","ACACA","Pathway_Level1"
"1177","Carbohydrate metabolism","D2HGDH","Pathway_Level2"
"1178","Pyruvate metabolism","PDK2","Pathway_Level3"
"1179","TCA cycle","MRPS36","Pathway_Level3"
"1180","TCA-associated","PC","Pathway_Level3"
"1181","Lipid metabolism","ACADVL","Pathway_Level2"
"1182","Fatty acid oxidation","ACOT11","Pathway_Level3"
"1183","Cardiolipin synthesis","PRELID1","Pathway_Level3"
"1184","Cholesterol, bile acid, steroid synthesis","OSBPL1A","Pathway_Level3"
"1185","Phospholipid metabolism","PISD","Pathway_Level3"
"1186","Amino acid metabolism","AGXT2","Pathway_Level2"
"1187","Branched-chain amino acid metabolism","DLD","Pathway_Level3"
"1188","Lysine metabolism","ETFB","Pathway_Level3"
"1189","Glycine metabolism","GLDC","Pathway_Level3"
"1190","Nucleotide metabolism","DTYMK","Pathway_Level2"
"1191","Nucleotide synthesis and processing","HINT1","Pathway_Level3"
"1192","Metals and cofactors","CHCHD7","Pathway_Level2"
"1193","Coenzyme Q metabolism","COQ9","Pathway_Level3"
"1194","Heme synthesis and processing","FDX2","Pathway_Level3"
"1195","Fe-S cluster biosynthesis","GRPEL1","Pathway_Level3"
"1196","NAD biosynthesis and metabolism","SIRT4","Pathway_Level3"
"1197","Fe-S-containing proteins","FDX2","Pathway_Level3"
"1198","Heme-containing proteins","MT-CYB","Pathway_Level3"
"1199","Vitamin metabolism","CYP27B1","Pathway_Level2"
"1200","Folate and 1-C metabolism","MTHFD2","Pathway_Level3"
"1201","Detoxification","ALDH9A1","Pathway_Level2"
"1202","Xenobiotic metabolism","CYB5R3","Pathway_Level3"
"1203","ROS and glutathione metabolism","MGST1","Pathway_Level3"
"1204","Electron carriers","GPD2","Pathway_Level2"
"1205","Q-linked reactions, other","SQOR","Pathway_Level3"
"1206","Sulfur metabolism","TSTD1","Pathway_Level2"
"1207","Small molecule transport","MCU","Pathway_Level1"
"1208","SLC25A family","SLC25A18","Pathway_Level2"
"1209","Signaling","IFI27","Pathway_Level1"
"1210","Calcium homeostasis","SLC25A12","Pathway_Level2"
"1211","EF hand proteins","SLC25A25","Pathway_Level3"
"1212","Mitochondrial dynamics and surveillance","ATAD3A","Pathway_Level1"
"1213","Fission","OMA1","Pathway_Level2"
"1214","Organelle contact sites","SPIRE1","Pathway_Level2"
"1215","Mitophagy","PRKN","Pathway_Level2"
"1216","Autophagy","PINK1","Pathway_Level2"
"1217","Apoptosis","BCL2L10","Pathway_Level2"
"1218","Cristae formation","OPA1","Pathway_Level2"
"1219","Mitochondrial central dogma","COA3","Pathway_Level1"
"1220","mtDNA maintenance","MUTYH","Pathway_Level2"
"1221","mtDNA replication","TOP1MT","Pathway_Level3"
"1222","mtRNA metabolism","FASTKD2","Pathway_Level2"
"1223","mtRNA granules","MRM2","Pathway_Level3"
"1224","Polycistronic mtRNA processing","TRMT10C","Pathway_Level3"
"1225","mt-tRNA modifications","RPUSD4","Pathway_Level3"
"1226","mt-rRNA modifications","RPUSD3","Pathway_Level3"
"1227","mtRNA stability and decay","PNPT1","Pathway_Level3"
"1228","Translation","EARS2","Pathway_Level2"
"1229","Mitochondrial ribosome","MRPL16","Pathway_Level3"
"1230","Mitochondrial ribosome assembly","MRM3","Pathway_Level3"
"1231","Translation factors","MTRF1L","Pathway_Level3"
"1232","mt-tRNA synthetases","LARS2","Pathway_Level3"
"1233","Protein import, sorting and homeostasis","CLPP","Pathway_Level1"
"1234","Protein import and sorting","MIPEP","Pathway_Level2"
"1235","Protein homeostasis","DNAJC4","Pathway_Level2"
"1236","Proteases","IMMP1L","Pathway_Level3"
"1237","Chaperones","TIMM13","Pathway_Level3"
"1238","OXPHOS","ATP5MD","Pathway_Level1"
"1239","OXPHOS subunits","ATP5MF","Pathway_Level2"
"1240","OXPHOS assembly factors","COA4","Pathway_Level2"
"1241","Complex I","MT-ND4","Pathway_Level2"
"1242","CI subunits","NDUFA13","Pathway_Level3"
"1243","CI assembly factors","NDUFAF4","Pathway_Level3"
"1244","Complex III","UQCRC1","Pathway_Level2"
"1245","Complex IV","COX11","Pathway_Level2"
"1246","CIV subunits","COX7A2L","Pathway_Level3"
"1247","CIV assembly factors","COX11","Pathway_Level3"
"1248","Complex V","ATP5MF","Pathway_Level2"
"1249","CV subunits","ATP5MF","Pathway_Level3"
"1250","Metabolism","ACACB","Pathway_Level1"
"1251","Carbohydrate metabolism","DCXR","Pathway_Level2"
"1252","Pyruvate metabolism","PDK3","Pathway_Level3"
"1253","TCA cycle","OGDH","Pathway_Level3"
"1254","TCA-associated","PCK2","Pathway_Level3"
"1255","Lipid metabolism","ACAT1","Pathway_Level2"
"1256","Fatty acid oxidation","ACSF2","Pathway_Level3"
"1257","Cardiolipin synthesis","PRELID3A","Pathway_Level3"
"1258","Cholesterol, bile acid, steroid synthesis","SCP2","Pathway_Level3"
"1259","Phospholipid metabolism","PNPLA8","Pathway_Level3"
"1260","Amino acid metabolism","AKR7A2","Pathway_Level2"
"1261","Branched-chain amino acid metabolism","ECHS1","Pathway_Level3"
"1262","Lysine metabolism","ETFDH","Pathway_Level3"
"1263","Glycine metabolism","GLYAT","Pathway_Level3"
"1264","Nucleotide metabolism","DUT","Pathway_Level2"
"1265","Nucleotide synthesis and processing","NME3","Pathway_Level3"
"1266","Metals and cofactors","CISD1","Pathway_Level2"
"1267","Coenzyme Q metabolism","PDSS1","Pathway_Level3"
"1268","Heme synthesis and processing","FDXR","Pathway_Level3"
"1269","Fe-S cluster biosynthesis","GRPEL2","Pathway_Level3"
"1270","NAD biosynthesis and metabolism","SIRT5","Pathway_Level3"
"1271","Fe-S-containing proteins","FECH","Pathway_Level3"
"1272","Heme-containing proteins","SDHC","Pathway_Level3"
"1273","Vitamin metabolism","DHRS4","Pathway_Level2"
"1274","Folate and 1-C metabolism","MTHFD2L","Pathway_Level3"
"1275","Detoxification","BPHL","Pathway_Level2"
"1276","Xenobiotic metabolism","DHRS2","Pathway_Level3"
"1277","ROS and glutathione metabolism","MSRA","Pathway_Level3"
"1278","Electron carriers","MT-CYB","Pathway_Level2"
"1279","Small molecule transport","MCUB","Pathway_Level1"
"1280","SLC25A family","SLC25A19","Pathway_Level2"
"1281","Signaling","LETM1","Pathway_Level1"
"1282","Calcium homeostasis","SLC25A13","Pathway_Level2"
"1283","Mitochondrial dynamics and surveillance","ATAD3B","Pathway_Level1"
"1284","Fission","RAB24","Pathway_Level2"
"1285","Organelle contact sites","STX17","Pathway_Level2"
"1286","Mitophagy","TOMM7","Pathway_Level2"
"1287","Autophagy","PRKN","Pathway_Level2"
"1288","Apoptosis","BCL2L11","Pathway_Level2"
"1289","Mitochondrial central dogma","COX14","Pathway_Level1"
"1290","mtDNA maintenance","OGG1","Pathway_Level2"
"1291","mtDNA replication","TOP3A","Pathway_Level3"
"1292","mtRNA metabolism","FASTKD3","Pathway_Level2"
"1293","mtRNA granules","MRPL47","Pathway_Level3"
"1294","Polycistronic mtRNA processing","YBEY","Pathway_Level3"
"1295","mt-tRNA modifications","THG1L","Pathway_Level3"
"1296","mt-rRNA modifications","RPUSD4","Pathway_Level3"
"1297","mtRNA stability and decay","REXO2","Pathway_Level3"
"1298","Translation","ERAL1","Pathway_Level2"
"1299","Mitochondrial ribosome","MRPL17","Pathway_Level3"
"1300","Mitochondrial ribosome assembly","MTERF3","Pathway_Level3"
"1301","Translation factors","TACO1","Pathway_Level3"
"1302","mt-tRNA synthetases","MARS2","Pathway_Level3"
"1303","Protein import, sorting and homeostasis","CLPX","Pathway_Level1"
"1304","Protein import and sorting","MTX1","Pathway_Level2"
"1305","Protein homeostasis","DNLZ","Pathway_Level2"
"1306","Proteases","IMMP2L","Pathway_Level3"
"1307","Chaperones","TIMM8A","Pathway_Level3"
"1308","OXPHOS","ATP5ME","Pathway_Level1"
"1309","OXPHOS subunits","ATP5MG","Pathway_Level2"
"1310","OXPHOS assembly factors","COA5","Pathway_Level2"
"1311","Complex I","MT-ND4L","Pathway_Level2"
"1312","CI subunits","NDUFA2","Pathway_Level3"
"1313","CI assembly factors","NDUFAF5","Pathway_Level3"
"1314","Complex III","UQCRC2","Pathway_Level2"
"1315","Complex IV","COX14","Pathway_Level2"
"1316","CIV subunits","COX7B","Pathway_Level3"
"1317","CIV assembly factors","COX14","Pathway_Level3"
"1318","Complex V","ATP5MG","Pathway_Level2"
"1319","CV subunits","ATP5MG","Pathway_Level3"
"1320","Metabolism","ACAD10","Pathway_Level1"
"1321","Carbohydrate metabolism","DLAT","Pathway_Level2"
"1322","Pyruvate metabolism","PDK4","Pathway_Level3"
"1323","TCA cycle","OGDHL","Pathway_Level3"
"1324","TCA-associated","SFXN5","Pathway_Level3"
"1325","Lipid metabolism","ACOT11","Pathway_Level2"
"1326","Fatty acid oxidation","ACSL1","Pathway_Level3"
"1327","Cardiolipin synthesis","PTPMT1","Pathway_Level3"
"1328","Cholesterol, bile acid, steroid synthesis","STAR","Pathway_Level3"
"1329","Phospholipid metabolism","PRDX6","Pathway_Level3"
"1330","Amino acid metabolism","ALDH18A1","Pathway_Level2"
"1331","Branched-chain amino acid metabolism","ETFA","Pathway_Level3"
"1332","Lysine metabolism","GCDH","Pathway_Level3"
"1333","Glycine metabolism","SARDH","Pathway_Level3"
"1334","Nucleotide metabolism","FHIT","Pathway_Level2"
"1335","Nucleotide synthesis and processing","NME4","Pathway_Level3"
"1336","Metals and cofactors","CISD3","Pathway_Level2"
"1337","Coenzyme Q metabolism","PDSS2","Pathway_Level3"
"1338","Heme synthesis and processing","FECH","Pathway_Level3"
"1339","Fe-S cluster biosynthesis","HSCB","Pathway_Level3"
"1340","NAD biosynthesis and metabolism","SLC25A51","Pathway_Level3"
"1341","Fe-S-containing proteins","GLRX2","Pathway_Level3"
"1342","Heme-containing proteins","SDHD","Pathway_Level3"
"1343","Vitamin metabolism","DMGDH","Pathway_Level2"
"1344","Folate and 1-C metabolism","MTHFS","Pathway_Level3"
"1345","Detoxification","CAT","Pathway_Level2"
"1346","Xenobiotic metabolism","EPHX2","Pathway_Level3"
"1347","ROS and glutathione metabolism","MSRB2","Pathway_Level3"
"1348","Electron carriers","PRODH","Pathway_Level2"
"1349","Small molecule transport","MICU1","Pathway_Level1"
"1350","SLC25A family","SLC25A20","Pathway_Level2"
"1351","Signaling","LYPLA1","Pathway_Level1"
"1352","Calcium homeostasis","SLC25A23","Pathway_Level2"
"1353","Mitochondrial dynamics and surveillance","ATP5MD","Pathway_Level1"
"1354","Fission","SLC25A46","Pathway_Level2"
"1355","Organelle contact sites","SYNJ2BP","Pathway_Level2"
"1356","Mitophagy","USP30","Pathway_Level2"
"1357","Autophagy","RAB24","Pathway_Level2"
"1358","Apoptosis","BCL2L13","Pathway_Level2"
"1359","Mitochondrial central dogma","DAP3","Pathway_Level1"
"1360","mtDNA maintenance","PIF1","Pathway_Level2"
"1361","mtDNA replication","TWNK","Pathway_Level3"
"1362","mtRNA metabolism","FASTKD5","Pathway_Level2"
"1363","mtRNA granules","MRPS7","Pathway_Level3"
"1364","mt-tRNA modifications","TRIT1","Pathway_Level3"
"1365","mt-rRNA modifications","TFB1M","Pathway_Level3"
"1366","mtRNA stability and decay","RNASEH1","Pathway_Level3"
"1367","Translation","EXD2","Pathway_Level2"
"1368","Mitochondrial ribosome","MRPL18","Pathway_Level3"
"1369","Mitochondrial ribosome assembly","MTERF4","Pathway_Level3"
"1370","Translation factors","TIMM21","Pathway_Level3"
"1371","mt-tRNA synthetases","NARS2","Pathway_Level3"
"1372","Protein import, sorting and homeostasis","DNAJA3","Pathway_Level1"
"1373","Protein import and sorting","MTX2","Pathway_Level2"
"1374","Protein homeostasis","FKBP10","Pathway_Level2"
"1375","Proteases","LACTB","Pathway_Level3"
"1376","Chaperones","TIMM8B","Pathway_Level3"
"1377","OXPHOS","ATP5MF","Pathway_Level1"
"1378","OXPHOS subunits","ATP5MPL","Pathway_Level2"
"1379","OXPHOS assembly factors","COA6","Pathway_Level2"
"1380","Complex I","MT-ND5","Pathway_Level2"
"1381","CI subunits","NDUFA3","Pathway_Level3"
"1382","CI assembly factors","NDUFAF6","Pathway_Level3"
"1383","Complex III","UQCRFS1","Pathway_Level2"
"1384","Complex IV","COX15","Pathway_Level2"
"1385","CIV subunits","COX7B2","Pathway_Level3"
"1386","CIV assembly factors","COX15","Pathway_Level3"
"1387","Complex V","ATP5MPL","Pathway_Level2"
"1388","CV subunits","ATP5MPL","Pathway_Level3"
"1389","Metabolism","ACAD11","Pathway_Level1"
"1390","Carbohydrate metabolism","DLD","Pathway_Level2"
"1391","Pyruvate metabolism","PDP1","Pathway_Level3"
"1392","TCA cycle","SDHA","Pathway_Level3"
"1393","TCA-associated","SLC25A1","Pathway_Level3"
"1394","Lipid metabolism","ACOT13","Pathway_Level2"
"1395","Fatty acid oxidation","ACSL6","Pathway_Level3"
"1396","Cardiolipin synthesis","TAMM41","Pathway_Level3"
"1397","Cholesterol, bile acid, steroid synthesis","TSPO","Pathway_Level3"
"1398","Phospholipid metabolism","PRELID1","Pathway_Level3"
"1399","Amino acid metabolism","ALDH4A1","Pathway_Level2"
"1400","Branched-chain amino acid metabolism","ETFB","Pathway_Level3"
"1401","Lysine metabolism","HADH","Pathway_Level3"
"1402","Glycine metabolism","SHMT2","Pathway_Level3"
"1403","Nucleotide metabolism","GATM","Pathway_Level2"
"1404","Nucleotide synthesis and processing","NME6","Pathway_Level3"
"1405","Metals and cofactors","COASY","Pathway_Level2"
"1406","Heme synthesis and processing","HCCS","Pathway_Level3"
"1407","Fe-S cluster biosynthesis","HSPA9","Pathway_Level3"
"1408","NAD biosynthesis and metabolism","SLC25A52","Pathway_Level3"
"1409","Fe-S-containing proteins","GLRX5","Pathway_Level3"
"1410","Vitamin metabolism","ETFA","Pathway_Level2"
"1411","Folate and 1-C metabolism","MTO1","Pathway_Level3"
"1412","Detoxification","CBR3","Pathway_Level2"
"1413","Xenobiotic metabolism","GLYAT","Pathway_Level3"
"1414","ROS and glutathione metabolism","MSRB3","Pathway_Level3"
"1415","Electron carriers","PRODH2","Pathway_Level2"
"1416","Small molecule transport","MICU2","Pathway_Level1"
"1417","SLC25A family","SLC25A21","Pathway_Level2"
"1418","Signaling","MACROD1","Pathway_Level1"
"1419","Calcium homeostasis","SLC25A24","Pathway_Level2"
"1420","Mitochondrial dynamics and surveillance","ATP5ME","Pathway_Level1"
"1421","Fission","SPIRE1","Pathway_Level2"
"1422","Organelle contact sites","VDAC1","Pathway_Level2"
"1423","Mitophagy","VPS13D","Pathway_Level2"
"1424","Autophagy","SNAP29","Pathway_Level2"
"1425","Apoptosis","BCL2L2","Pathway_Level2"
"1426","Mitochondrial central dogma","DARS2","Pathway_Level1"
"1427","mtDNA maintenance","POLB","Pathway_Level2"
"1428","mtRNA metabolism","GRSF1","Pathway_Level2"
"1429","mtRNA granules","MRPS9","Pathway_Level3"
"1430","mt-tRNA modifications","TRMT1","Pathway_Level3"
