Tissue,Group,Pathway,score
Epididymis,Reproductive,Cytochrome C,24.699999999999996
Epididymis,Reproductive,Heme synthesis and processing,9.125
Epididymis,Reproductive,Mitochondrial permeability transition pore,60.614285714285714
Epididymis,Reproductive,Nucleotide import,24.080000000000002
Epididymis,Reproductive,Calcium uniporter,13.4
Epididymis,Reproductive,Calcium cycle,35.52222222222222
Epididymis,Reproductive,mtDNA replication,13.207142857142857
Epididymis,Reproductive,mtDNA repair,14.344444444444445
Epididymis,Reproductive,Fatty acid oxidation,25.193181818181817
Epididymis,Reproductive,Protein import and sorting,40.71875
Epididymis,Reproductive,TIM22 carrier pathway,8.2
Epididymis,Reproductive,Phospholipid metabolism,25.356521739130436
Epididymis,Reproductive,Complex IV,810.9470588235295
Epididymis,Reproductive,CIV assembly factors,35.20333333333333
Epididymis,Reproductive,Polycistronic mtRNA processing,15.8
Epididymis,Reproductive,mtRNA metabolism,15.228947368421053
Epididymis,Reproductive,Intramitochondrial membrane interactions,15.411111111111111
Epididymis,Reproductive,Lysine metabolism,28.1875
Epididymis,Reproductive,ROS and glutathione metabolism,72.32222222222222
Epididymis,Reproductive,Xenobiotic metabolism,25.66086956521739
Epididymis,Reproductive,Detoxification,49.15882352941176
Epididymis,Reproductive,Preprotein cleavage,27.5625
Epididymis,Reproductive,CIII subunits,750.46
Epididymis,Reproductive,Complex III,475.67499999999995
Epididymis,Reproductive,CIII assembly factors,17.7
Epididymis,Reproductive,mt-tRNA synthetases,12.881818181818183
Epididymis,Reproductive,Translation,26.46
Epididymis,Reproductive,Electron carriers,459.40000000000003
Epididymis,Reproductive,"Q-linked reactions, other",11.545454545454545
Epididymis,Reproductive,Choline and betaine metabolism,18.2
Epididymis,Reproductive,Glycine metabolism,18.773333333333333
Epididymis,Reproductive,Folate and 1-C metabolism,12.295238095238096
Epididymis,Reproductive,Vitamin metabolism,17.124489795918368
Epididymis,Reproductive,Vitamin D metabolism,3.55
Epididymis,Reproductive,Heme-containing proteins,1638.6076923076923
Epididymis,Reproductive,Fe-S-containing proteins,24.696774193548386
Epididymis,Reproductive,Vitamin C metabolism,31.450000000000003
Epididymis,Reproductive,TOM,119.73333333333335
Epididymis,Reproductive,Cardiolipin synthesis,16.5125
Epididymis,Reproductive,mt-rRNA modifications,16.5
Epididymis,Reproductive,Mitochondrial ribosome assembly,14.1625
Epididymis,Reproductive,mtRNA granules,13.014285714285714
Epididymis,Reproductive,mt-tRNA modifications,10.131818181818183
Epididymis,Reproductive,Mitochondrial ribosome,31.136144578313253
Epididymis,Reproductive,Mitophagy,77.65714285714287
Epididymis,Reproductive,Autophagy,65.1
Epididymis,Reproductive,GABA metabolism,23.385714285714286
Epididymis,Reproductive,Proline metabolism,21.566666666666666
Epididymis,Reproductive,Gluconeogenesis,15.844444444444445
Epididymis,Reproductive,TCA-associated,13.42
Epididymis,Reproductive,TCA cycle,35.425
Epididymis,Reproductive,Fission,19.86
Epididymis,Reproductive,Cholesterol-associated,51.15
Epididymis,Reproductive,Coenzyme A metabolism,8
Epididymis,Reproductive,Catechol metabolism,39.266666666666666
Epididymis,Reproductive,cAMP-PKA signaling,10.983333333333334
Epididymis,Reproductive,"Cholesterol, bile acid, steroid synthesis",25.778571428571432
Epididymis,Reproductive,Branched-chain amino acid metabolism,23.016000000000002
Epididymis,Reproductive,Selenoproteins,73.98
Epididymis,Reproductive,Complex II,43.3
Epididymis,Reproductive,CII subunits,68.325
Epididymis,Reproductive,Ketone metabolism,26.162499999999998
Epididymis,Reproductive,TIM23 presequence pathway,38.43333333333333
Epididymis,Reproductive,Translation factors,36.1625
Epididymis,Reproductive,Copper metabolism,58.98571428571429
Epididymis,Reproductive,mtRNA stability and decay,23.78235294117647
Epididymis,Reproductive,Biotin utilizing proteins,50.839999999999996
Epididymis,Reproductive,Chaperones,42.35
Epididymis,Reproductive,Branched-chain amino acid dehydrogenase complex,12.233333333333333
Epididymis,Reproductive,Coenzyme Q metabolism,10.9
Epididymis,Reproductive,Immune response,24.2
Epididymis,Reproductive,NAD biosynthesis and metabolism,16.271428571428572
Epididymis,Reproductive,Glycine cleavage system,26.1
Epididymis,Reproductive,Complex V,465.87307692307695
Epididymis,Reproductive,CV subunits,573.4571428571428
Epididymis,Reproductive,Transcription,9.525
Epididymis,Reproductive,Amidoxime reducing complex,40.625
Epididymis,Reproductive,SAM,29.066666666666666
Epididymis,Reproductive,Respirasome assembly,58
Epididymis,Reproductive,mtDNA modifications,5.5
Epididymis,Reproductive,ABC transporters,7.3
Epididymis,Reproductive,Sulfur metabolism,26.03636363636364
Epididymis,Reproductive,Trafficking,24.957142857142856
Epididymis,Reproductive,Itaconate metabolism,27.4
Epididymis,Reproductive,Cytochromes,1691
Epididymis,Reproductive,fMet processing,1.5666666666666667
Epididymis,Reproductive,Import motor,10.266666666666666
Epididymis,Reproductive,Organelle contact sites,30.42142857142857
Epididymis,Reproductive,MICOS complex,18.228571428571428
Epididymis,Reproductive,Cristae formation,85.45454545454545
Epididymis,Reproductive,Sideroflexins,12.74
Epididymis,Reproductive,Serine metabolism,11.72
Epididymis,Reproductive,mt-mRNA modifications,9.95
Epididymis,Reproductive,Vitamin B6 metabolism,17.6
Epididymis,Reproductive,Fusion,12.9
Epididymis,Reproductive,Carnitine synthesis and transport,7.633333333333334
Epididymis,Reproductive,Carnitine shuttle,7.0600000000000005
Epididymis,Reproductive,Glyoxylate metabolism,38.6375
Epididymis,Reproductive,CIV subunits,1919.1523809523808
Epididymis,Reproductive,Propanoate metabolism,70.175
Epididymis,Reproductive,Glycerol phosphate shuttle,5.3
Epididymis,Reproductive,Glutamate metabolism,20.650000000000002
Epididymis,Reproductive,Tetrahydrobiopterin synthesis,27.266666666666666
Epididymis,Reproductive,Kynurenine metabolism,29.666666666666668
Epididymis,Reproductive,Molybdenum cofactor synthesis and proteins,15.639999999999999
Epididymis,Reproductive,Lipoate insertion,23.05
Epididymis,Reproductive,CV assembly factors,14.02
Epididymis,Reproductive,Iron homeostasis,508.4
Epididymis,Reproductive,Vitamin B1 metabolism,2.5
Epididymis,Reproductive,mtDNA stability and decay,5.266666666666667
Epididymis,Reproductive,MIA40,8.633333333333333
Epididymis,Reproductive,Creatine metabolism,5.725
Epididymis,Reproductive,Vitamin B2 metabolism,15.5
Epididymis,Reproductive,Vitamin B12 metabolism,24.275
Epididymis,Reproductive,Eicosanoid metabolism,184.73333333333335
Epididymis,Reproductive,CII assembly factors,18.275
Epididymis,Reproductive,OXA,48.5
Epididymis,Reproductive,Vitamin A metabolism,3.8800000000000003
Esophagus,Digestive,Apoptosis,46.902857142857144
Esophagus,Digestive,Mitochondrial dynamics and surveillance,51.08942307692308
Esophagus,Digestive,Proteases,20.4
Esophagus,Digestive,Protein homeostasis,36.79607843137255
Esophagus,Digestive,"Protein import, sorting and homeostasis",44.83720930232558
Esophagus,Digestive,CI assembly factors,18.318181818181817
Esophagus,Digestive,Complex I,1103.1348484848486
Esophagus,Digestive,OXPHOS assembly factors,27.563235294117646
Esophagus,Digestive,OXPHOS,1258.2668639053256
Esophagus,Digestive,mtDNA nucleoid,28.227272727272727
Esophagus,Digestive,mtDNA maintenance,19.293548387096774
Esophagus,Digestive,Mitochondrial central dogma,29.456709956709954
Esophagus,Digestive,Nucleotide metabolism,60.855000000000004
Esophagus,Digestive,Nucleotide synthesis and processing,54.43333333333333
Esophagus,Digestive,Metabolism,117.65509761388279
Esophagus,Digestive,Type II fatty acid synthesis,23.91111111111111
Esophagus,Digestive,CI subunits,1645.5431818181817
Esophagus,Digestive,Fe-S cluster biosynthesis,26.191304347826087
Esophagus,Digestive,OXPHOS subunits,2067.000980392156
Esophagus,Digestive,Metals and cofactors,321.7885245901639
Esophagus,Digestive,Lipid metabolism,42.97723577235772
Esophagus,Digestive,Pyruvate metabolism,37.00625
Esophagus,Digestive,Carbohydrate metabolism,39.1013698630137
Esophagus,Digestive,Malate-aspartate shuttle,54.35
Esophagus,Digestive,Urea cycle,3.2714285714285714
Esophagus,Digestive,SLC25A family,42.449019607843134
Esophagus,Digestive,EF hand proteins,21.736363636363635
Esophagus,Digestive,Calcium homeostasis,77.8
Esophagus,Digestive,Small molecule transport,40.163529411764706
Esophagus,Digestive,Signaling,61.03125
Esophagus,Digestive,Amino acid metabolism,31.04222222222222
Esophagus,Digestive,Cytochrome C,63.05
Esophagus,Digestive,Heme synthesis and processing,13.95625
Esophagus,Digestive,Mitochondrial permeability transition pore,159.0142857142857
Esophagus,Digestive,Nucleotide import,89.7
Esophagus,Digestive,Calcium uniporter,13.533333333333333
Esophagus,Digestive,Calcium cycle,62.477777777777774
Esophagus,Digestive,mtDNA replication,18.685714285714287
Esophagus,Digestive,mtDNA repair,21.6
Esophagus,Digestive,Fatty acid oxidation,34.956818181818186
Esophagus,Digestive,Protein import and sorting,49.76875
Esophagus,Digestive,TIM22 carrier pathway,12.066666666666666
Esophagus,Digestive,Phospholipid metabolism,26.67391304347826
Esophagus,Digestive,Complex IV,1449.909803921569
Esophagus,Digestive,CIV assembly factors,29.51
Esophagus,Digestive,Polycistronic mtRNA processing,27.3
Esophagus,Digestive,mtRNA metabolism,20.817105263157895
Esophagus,Digestive,Intramitochondrial membrane interactions,24
Esophagus,Digestive,Lysine metabolism,52.075
Esophagus,Digestive,ROS and glutathione metabolism,99.02592592592593
Esophagus,Digestive,Xenobiotic metabolism,59.95652173913044
Esophagus,Digestive,Detoxification,75.8529411764706
Esophagus,Digestive,Preprotein cleavage,41.925000000000004
Esophagus,Digestive,CIII subunits,1207.13
Esophagus,Digestive,Complex III,762.7624999999999
Esophagus,Digestive,CIII assembly factors,22.15
Esophagus,Digestive,mt-tRNA synthetases,16.918181818181818
Esophagus,Digestive,Translation,35.07096774193548
Esophagus,Digestive,Electron carriers,762.0666666666666
Esophagus,Digestive,"Q-linked reactions, other",39.018181818181816
Esophagus,Digestive,Choline and betaine metabolism,41.714285714285715
Esophagus,Digestive,Glycine metabolism,32.54
Esophagus,Digestive,Folate and 1-C metabolism,11.638095238095238
Esophagus,Digestive,Vitamin metabolism,25.365306122448978
Esophagus,Digestive,Vitamin D metabolism,9.95
Esophagus,Digestive,Heme-containing proteins,2478.6923076923076
Esophagus,Digestive,Fe-S-containing proteins,35.354838709677416
Esophagus,Digestive,Vitamin C metabolism,48.65
Esophagus,Digestive,TOM,107.36666666666666
Esophagus,Digestive,Cardiolipin synthesis,27.325
Esophagus,Digestive,mt-rRNA modifications,17.355555555555554
Esophagus,Digestive,Mitochondrial ribosome assembly,15.991666666666667
Esophagus,Digestive,mtRNA granules,21.082142857142856
Esophagus,Digestive,mt-tRNA modifications,16.40909090909091
Esophagus,Digestive,Mitochondrial ribosome,46.02530120481928
Esophagus,Digestive,Mitophagy,77.65
Esophagus,Digestive,Autophagy,67
Esophagus,Digestive,GABA metabolism,35.6
Esophagus,Digestive,Proline metabolism,37.81666666666667
Esophagus,Digestive,Gluconeogenesis,48.5
Esophagus,Digestive,TCA-associated,23.7
Esophagus,Digestive,TCA cycle,71.235
Esophagus,Digestive,Fission,28.546666666666667
Esophagus,Digestive,Cholesterol-associated,97.25
Esophagus,Digestive,Coenzyme A metabolism,29.88
Esophagus,Digestive,Catechol metabolism,92.8
Esophagus,Digestive,cAMP-PKA signaling,18.05
Esophagus,Digestive,"Cholesterol, bile acid, steroid synthesis",82.87142857142857
Esophagus,Digestive,Branched-chain amino acid metabolism,42.824
Esophagus,Digestive,Selenoproteins,81.4
Esophagus,Digestive,Complex II,56.5375
Esophagus,Digestive,CII subunits,96.05
Esophagus,Digestive,Ketone metabolism,36.475
Esophagus,Digestive,TIM23 presequence pathway,58.45
Esophagus,Digestive,Translation factors,34.11875
Esophagus,Digestive,Copper metabolism,81.11428571428571
Esophagus,Digestive,mtRNA stability and decay,28.694117647058825
Esophagus,Digestive,Biotin utilizing proteins,16.54
Esophagus,Digestive,Chaperones,60.51875
Esophagus,Digestive,Branched-chain amino acid dehydrogenase complex,37.483333333333334
Esophagus,Digestive,Coenzyme Q metabolism,19.676923076923078
Esophagus,Digestive,Immune response,102.26
Esophagus,Digestive,NAD biosynthesis and metabolism,12.007142857142856
Esophagus,Digestive,Glycine cleavage system,29.325
Esophagus,Digestive,Complex V,2032.8576923076926
Esophagus,Digestive,CV subunits,2513.7380952380954
Esophagus,Digestive,Transcription,23.8125
Esophagus,Digestive,Amidoxime reducing complex,57.725
Esophagus,Digestive,SAM,34.56666666666666
Esophagus,Digestive,Respirasome assembly,127.5
Esophagus,Digestive,mtDNA modifications,6.2
Esophagus,Digestive,ABC transporters,10.7625
Esophagus,Digestive,Sulfur metabolism,54.418181818181814
Esophagus,Digestive,Trafficking,18.085714285714285
Esophagus,Digestive,Itaconate metabolism,31.983333333333334
Esophagus,Digestive,Cytochromes,2750.45
Esophagus,Digestive,fMet processing,5.333333333333334
Esophagus,Digestive,Import motor,21.883333333333333
Esophagus,Digestive,Organelle contact sites,45.58571428571428
Esophagus,Digestive,MICOS complex,28.17142857142857
Esophagus,Digestive,Cristae formation,115.95454545454545
Esophagus,Digestive,Sideroflexins,9.34
Esophagus,Digestive,Serine metabolism,14.440000000000001
Esophagus,Digestive,mt-mRNA modifications,12.15
Esophagus,Digestive,Vitamin B6 metabolism,15.549999999999999
Esophagus,Digestive,Fusion,26.5
Esophagus,Digestive,Carnitine synthesis and transport,12.333333333333332
Esophagus,Digestive,Carnitine shuttle,12.719999999999999
Esophagus,Digestive,Glyoxylate metabolism,42.0375
Esophagus,Digestive,CIV subunits,3479.0523809523816
Esophagus,Digestive,Propanoate metabolism,22.625
Esophagus,Digestive,Glycerol phosphate shuttle,20.5
Esophagus,Digestive,Glutamate metabolism,31.925
Esophagus,Digestive,Tetrahydrobiopterin synthesis,14.666666666666668
Esophagus,Digestive,Kynurenine metabolism,31.5
Esophagus,Digestive,Molybdenum cofactor synthesis and proteins,11.52
Esophagus,Digestive,Lipoate insertion,7.3
Esophagus,Digestive,CV assembly factors,13.16
Esophagus,Digestive,Iron homeostasis,833.9199999999998
Esophagus,Digestive,Vitamin B1 metabolism,8.6
Esophagus,Digestive,mtDNA stability and decay,11.166666666666666
Esophagus,Digestive,MIA40,17.033333333333335
Esophagus,Digestive,Creatine metabolism,51.25
Esophagus,Digestive,Vitamin B2 metabolism,15.566666666666666
Esophagus,Digestive,Vitamin B12 metabolism,35.225
Esophagus,Digestive,Eicosanoid metabolism,51.400000000000006
Esophagus,Digestive,CII assembly factors,17.025
Esophagus,Digestive,OXA,77.2
Esophagus,Digestive,Vitamin A metabolism,61.18
Fallopian tube,Reproductive,Apoptosis,33.965714285714284
Fallopian tube,Reproductive,Mitochondrial dynamics and surveillance,40.66826923076923
Fallopian tube,Reproductive,Proteases,17.760714285714286
Fallopian tube,Reproductive,Protein homeostasis,32.05098039215686
Fallopian tube,Reproductive,"Protein import, sorting and homeostasis",39.42906976744186
Fallopian tube,Reproductive,CI assembly factors,16.522727272727273
Fallopian tube,Reproductive,Complex I,860.8121212121213
Fallopian tube,Reproductive,OXPHOS assembly factors,21.38529411764706
Fallopian tube,Reproductive,OXPHOS,792.4130177514793
Fallopian tube,Reproductive,mtDNA nucleoid,19.363636363636363
Fallopian tube,Reproductive,mtDNA maintenance,15.022580645161291
Fallopian tube,Reproductive,Mitochondrial central dogma,22.270562770562773
Fallopian tube,Reproductive,Nucleotide metabolism,38.425
Fallopian tube,Reproductive,Nucleotide synthesis and processing,41.775
Fallopian tube,Reproductive,Metabolism,74.18763557483734
Fallopian tube,Reproductive,Type II fatty acid synthesis,17.72222222222222
Fallopian tube,Reproductive,CI subunits,1282.9568181818183
Fallopian tube,Reproductive,Fe-S cluster biosynthesis,23.730434782608697
Fallopian tube,Reproductive,OXPHOS subunits,1299.4637254901963
Fallopian tube,Reproductive,Metals and cofactors,199.31721311475405
Fallopian tube,Reproductive,Lipid metabolism,25.239837398373982
Fallopian tube,Reproductive,Pyruvate metabolism,27.04375
Fallopian tube,Reproductive,Carbohydrate metabolism,26.665753424657535
Fallopian tube,Reproductive,Malate-aspartate shuttle,31.200000000000003
Fallopian tube,Reproductive,Urea cycle,3.1285714285714286
Fallopian tube,Reproductive,SLC25A family,31.874509803921566
Fallopian tube,Reproductive,EF hand proteins,27.12727272727273
Fallopian tube,Reproductive,Calcium homeostasis,47.725
Fallopian tube,Reproductive,Small molecule transport,28.95529411764706
Fallopian tube,Reproductive,Signaling,39.139583333333334
Fallopian tube,Reproductive,Amino acid metabolism,24.714444444444446
Fallopian tube,Reproductive,Cytochrome C,26
Fallopian tube,Reproductive,Heme synthesis and processing,11.03125
Fallopian tube,Reproductive,Mitochondrial permeability transition pore,77.51428571428572
Fallopian tube,Reproductive,Nucleotide import,49.18
Fallopian tube,Reproductive,Calcium uniporter,16.133333333333333
Fallopian tube,Reproductive,Calcium cycle,41.02222222222222
Fallopian tube,Reproductive,mtDNA replication,13.714285714285715
Fallopian tube,Reproductive,mtDNA repair,20.477777777777778
Fallopian tube,Reproductive,Fatty acid oxidation,24.568181818181817
Fallopian tube,Reproductive,Protein import and sorting,42.550000000000004
Fallopian tube,Reproductive,TIM22 carrier pathway,9.266666666666667
Fallopian tube,Reproductive,Phospholipid metabolism,22.547826086956523
Fallopian tube,Reproductive,Complex IV,693.8019607843137
Fallopian tube,Reproductive,CIV assembly factors,22.2
Fallopian tube,Reproductive,Polycistronic mtRNA processing,18.1
Fallopian tube,Reproductive,mtRNA metabolism,15.326315789473684
Fallopian tube,Reproductive,Intramitochondrial membrane interactions,20.322222222222223
Fallopian tube,Reproductive,Lysine metabolism,38.125
Fallopian tube,Reproductive,ROS and glutathione metabolism,78
Fallopian tube,Reproductive,Xenobiotic metabolism,38.93913043478261
Fallopian tube,Reproductive,Detoxification,57.498039215686276
Fallopian tube,Reproductive,Preprotein cleavage,35.3375
Fallopian tube,Reproductive,CIII subunits,835.8000000000001
Fallopian tube,Reproductive,Complex III,528.4625
Fallopian tube,Reproductive,CIII assembly factors,16.233333333333334
Fallopian tube,Reproductive,mt-tRNA synthetases,14.036363636363635
Fallopian tube,Reproductive,Translation,26.615483870967743
Fallopian tube,Reproductive,Electron carriers,527.3266666666667
Fallopian tube,Reproductive,"Q-linked reactions, other",16.01818181818182
Fallopian tube,Reproductive,Choline and betaine metabolism,18.357142857142854
Fallopian tube,Reproductive,Glycine metabolism,16.740000000000002
Fallopian tube,Reproductive,Folate and 1-C metabolism,13.09047619047619
Fallopian tube,Reproductive,Vitamin metabolism,15.1
Fallopian tube,Reproductive,Vitamin D metabolism,4.825
Fallopian tube,Reproductive,Heme-containing proteins,1442.8615384615382
Fallopian tube,Reproductive,Fe-S-containing proteins,28.570967741935483
Fallopian tube,Reproductive,Vitamin C metabolism,36
Fallopian tube,Reproductive,TOM,114.9
Fallopian tube,Reproductive,Cardiolipin synthesis,19.10625
Fallopian tube,Reproductive,mt-rRNA modifications,15.216666666666667
Fallopian tube,Reproductive,Mitochondrial ribosome assembly,14.966666666666667
Fallopian tube,Reproductive,mtRNA granules,15.482142857142858
Fallopian tube,Reproductive,mt-tRNA modifications,11.745454545454546
Fallopian tube,Reproductive,Mitochondrial ribosome,34.33132530120482
Fallopian tube,Reproductive,Mitophagy,86.0142857142857
Fallopian tube,Reproductive,Autophagy,72.18333333333334
Fallopian tube,Reproductive,GABA metabolism,25.54285714285714
Fallopian tube,Reproductive,Proline metabolism,24.616666666666667
Fallopian tube,Reproductive,Gluconeogenesis,25.855555555555558
Fallopian tube,Reproductive,TCA-associated,17.266666666666666
Fallopian tube,Reproductive,TCA cycle,45.025
Fallopian tube,Reproductive,Fission,24.326666666666668
Fallopian tube,Reproductive,Cholesterol-associated,37.4
Fallopian tube,Reproductive,Coenzyme A metabolism,13.56
Fallopian tube,Reproductive,Catechol metabolism,68.03333333333333
Fallopian tube,Reproductive,cAMP-PKA signaling,22.71666666666667
Fallopian tube,Reproductive,"Cholesterol, bile acid, steroid synthesis",31.535714285714285
Fallopian tube,Reproductive,Branched-chain amino acid metabolism,28.956
Fallopian tube,Reproductive,Selenoproteins,68.82
Fallopian tube,Reproductive,Complex II,46.875
Fallopian tube,Reproductive,CII subunits,75.975
Fallopian tube,Reproductive,Ketone metabolism,24.1125
Fallopian tube,Reproductive,TIM23 presequence pathway,36.7
Fallopian tube,Reproductive,Translation factors,24.30625
Fallopian tube,Reproductive,Copper metabolism,53.371428571428574
Fallopian tube,Reproductive,mtRNA stability and decay,19.17058823529412
Fallopian tube,Reproductive,Biotin utilizing proteins,11.24
Fallopian tube,Reproductive,Chaperones,49.6125
Fallopian tube,Reproductive,Branched-chain amino acid dehydrogenase complex,22.183333333333334
Fallopian tube,Reproductive,Coenzyme Q metabolism,17.215384615384615
Fallopian tube,Reproductive,Immune response,52.6
Fallopian tube,Reproductive,NAD biosynthesis and metabolism,12.17142857142857
Fallopian tube,Reproductive,Glycine cleavage system,16.375
Fallopian tube,Reproductive,Complex V,1258.7076923076922
Fallopian tube,Reproductive,CV subunits,1555.4
Fallopian tube,Reproductive,Transcription,13.95
Fallopian tube,Reproductive,Amidoxime reducing complex,62.85
Fallopian tube,Reproductive,SAM,34.266666666666666
Fallopian tube,Reproductive,Respirasome assembly,69.575
Fallopian tube,Reproductive,mtDNA modifications,6.3
Fallopian tube,Reproductive,ABC transporters,11.2125
Fallopian tube,Reproductive,Sulfur metabolism,26.772727272727273
Fallopian tube,Reproductive,Trafficking,19.3
Fallopian tube,Reproductive,Itaconate metabolism,23.333333333333336
Fallopian tube,Reproductive,Cytochromes,1933.425
Fallopian tube,Reproductive,fMet processing,4.7
Fallopian tube,Reproductive,Import motor,12.266666666666667
Fallopian tube,Reproductive,Organelle contact sites,32.52142857142857
Fallopian tube,Reproductive,MICOS complex,24.6
Fallopian tube,Reproductive,Cristae formation,63.11818181818182
Fallopian tube,Reproductive,Sideroflexins,9.9
Fallopian tube,Reproductive,Serine metabolism,11.76
Fallopian tube,Reproductive,mt-mRNA modifications,13.6
Fallopian tube,Reproductive,Vitamin B6 metabolism,19
Fallopian tube,Reproductive,Fusion,21.98888888888889
Fallopian tube,Reproductive,Carnitine synthesis and transport,11.916666666666668
Fallopian tube,Reproductive,Carnitine shuttle,12.3
Fallopian tube,Reproductive,Glyoxylate metabolism,45.512499999999996
Fallopian tube,Reproductive,CIV subunits,1653.233333333333
Fallopian tube,Reproductive,Propanoate metabolism,16.475
Fallopian tube,Reproductive,Glycerol phosphate shuttle,18.4
Fallopian tube,Reproductive,Glutamate metabolism,18.15
Fallopian tube,Reproductive,Tetrahydrobiopterin synthesis,16.53333333333333
Fallopian tube,Reproductive,Kynurenine metabolism,21.933333333333334
Fallopian tube,Reproductive,Molybdenum cofactor synthesis and proteins,12.4
Fallopian tube,Reproductive,Lipoate insertion,9.375
Fallopian tube,Reproductive,CV assembly factors,12.6
Fallopian tube,Reproductive,Iron homeostasis,668.1200000000001
Fallopian tube,Reproductive,Vitamin B1 metabolism,6.3
Fallopian tube,Reproductive,mtDNA stability and decay,7.6
Fallopian tube,Reproductive,MIA40,16.033333333333335
Fallopian tube,Reproductive,Creatine metabolism,5.65
Fallopian tube,Reproductive,Vitamin B2 metabolism,14.166666666666668
Fallopian tube,Reproductive,Vitamin B12 metabolism,23.775
Fallopian tube,Reproductive,Eicosanoid metabolism,49.666666666666664
Fallopian tube,Reproductive,CII assembly factors,17.775
Fallopian tube,Reproductive,OXA,56.3
Fallopian tube,Reproductive,Vitamin A metabolism,10.280000000000001
Gallbladder,Digestive,Apoptosis,37.308571428571426
Gallbladder,Digestive,Mitochondrial dynamics and surveillance,30.66730769230769
Gallbladder,Digestive,Proteases,13.617857142857142
Gallbladder,Digestive,Protein homeostasis,22.129411764705882
Gallbladder,Digestive,"Protein import, sorting and homeostasis",24.44651162790698
Gallbladder,Digestive,CI assembly factors,10.631818181818181
Gallbladder,Digestive,Complex I,397.8651515151516
Gallbladder,Digestive,OXPHOS assembly factors,15.625
Gallbladder,Digestive,OXPHOS,409.9810650887572
Gallbladder,Digestive,mtDNA nucleoid,11.881818181818183
Gallbladder,Digestive,mtDNA maintenance,10.345161290322581
Gallbladder,Digestive,Mitochondrial central dogma,14.467099567099567
Gallbladder,Digestive,Nucleotide metabolism,26.8575
Gallbladder,Digestive,Nucleotide synthesis and processing,27.741666666666667
Gallbladder,Digestive,Metabolism,58.1288503253796
Gallbladder,Digestive,Type II fatty acid synthesis,9.11111111111111
Gallbladder,Digestive,CI subunits,591.481818181818
Gallbladder,Digestive,Fe-S cluster biosynthesis,15.843478260869565
Gallbladder,Digestive,OXPHOS subunits,669.0901960784313
Gallbladder,Digestive,Metals and cofactors,155.37131147540978
Gallbladder,Digestive,Lipid metabolism,19.73821138211382
Gallbladder,Digestive,Pyruvate metabolism,20.925
Gallbladder,Digestive,Carbohydrate metabolism,20.606849315068494
Gallbladder,Digestive,Malate-aspartate shuttle,18.833333333333332
Gallbladder,Digestive,Urea cycle,3.5428571428571427
Gallbladder,Digestive,SLC25A family,18.345098039215685
Gallbladder,Digestive,EF hand proteins,15.981818181818182
Gallbladder,Digestive,Calcium homeostasis,31.59166666666667
Gallbladder,Digestive,Small molecule transport,18.769411764705882
Gallbladder,Digestive,Signaling,30.645833333333332
Gallbladder,Digestive,Amino acid metabolism,18.753333333333337
Gallbladder,Digestive,Cytochrome C,32.15
Gallbladder,Digestive,Heme synthesis and processing,8.7375
Gallbladder,Digestive,Mitochondrial permeability transition pore,57.27142857142857
Gallbladder,Digestive,Nucleotide import,32.45
Gallbladder,Digestive,Calcium uniporter,14.15
Gallbladder,Digestive,Calcium cycle,26.46666666666667
Gallbladder,Digestive,mtDNA replication,8.57857142857143
Gallbladder,Digestive,mtDNA repair,15.077777777777778
Gallbladder,Digestive,Fatty acid oxidation,19.970454545454544
Gallbladder,Digestive,Protein import and sorting,24.220833333333335
Gallbladder,Digestive,TIM22 carrier pathway,4.233333333333333
Gallbladder,Digestive,Phospholipid metabolism,15.47391304347826
Gallbladder,Digestive,Complex IV,542.3372549019607
Gallbladder,Digestive,CIV assembly factors,18.39666666666667
Gallbladder,Digestive,Polycistronic mtRNA processing,13.669230769230769
Gallbladder,Digestive,mtRNA metabolism,11.042105263157895
Gallbladder,Digestive,Intramitochondrial membrane interactions,13.088888888888889
Gallbladder,Digestive,Lysine metabolism,30.3875
Gallbladder,Digestive,ROS and glutathione metabolism,65.69259259259259
Gallbladder,Digestive,Xenobiotic metabolism,43.87826086956522
Gallbladder,Digestive,Detoxification,50.74313725490196
Gallbladder,Digestive,Preprotein cleavage,25.487500000000004
Gallbladder,Digestive,CIII subunits,402.55
Gallbladder,Digestive,Complex III,255.0125
Gallbladder,Digestive,CIII assembly factors,9.116666666666667
Gallbladder,Digestive,mt-tRNA synthetases,10.195454545454545
Gallbladder,Digestive,Translation,16.783225806451615
Gallbladder,Digestive,Electron carriers,252.90666666666664
Gallbladder,Digestive,"Q-linked reactions, other",17.345454545454544
Gallbladder,Digestive,Choline and betaine metabolism,20.7
Gallbladder,Digestive,Glycine metabolism,17.186666666666667
Gallbladder,Digestive,Folate and 1-C metabolism,8.685714285714285
Gallbladder,Digestive,Vitamin metabolism,15.571428571428573
Gallbladder,Digestive,Vitamin D metabolism,3.4749999999999996
Gallbladder,Digestive,Heme-containing proteins,1179.0384615384617
Gallbladder,Digestive,Fe-S-containing proteins,19.516129032258064
Gallbladder,Digestive,Vitamin C metabolism,28.35
Gallbladder,Digestive,TOM,54.922222222222224
Gallbladder,Digestive,Cardiolipin synthesis,11.55
Gallbladder,Digestive,mt-rRNA modifications,10.194444444444445
Gallbladder,Digestive,Mitochondrial ribosome assembly,10.541666666666666
Gallbladder,Digestive,mtRNA granules,10.560714285714287
Gallbladder,Digestive,mt-tRNA modifications,7.654545454545454
