Pathway,Gene
Translation,DAP3
Mitochondrial ribosome,MRPL12
Mitochondrial ribosome assembly,METTL17
Translation factors,MRRF
mt-tRNA synthetases,GATC
"Protein import, sorting and homeostasis",CASP8
Protein import and sorting,GRPEL1
TOM,TOMM7
Preprotein cleavage,XPNPEP3
Protein homeostasis,CLPB
Proteases,CLPP
Chaperones,PHB
OXPHOS,ATP5IF1
OXPHOS subunits,ATP5MC2
OXPHOS assembly factors,CMC1
Complex I,LYRM2
CI subunits,NDUFA1
CI assembly factors,LYRM2
Complex II,SDHD
Complex III,UQCC3
CIII subunits,UQCRFS1
Complex IV,COA6
CIV subunits,COX6B2
CIV assembly factors,COA6
Complex V,ATP5MC2
CV subunits,ATP5MC2
Metabolism,ABHD11
Carbohydrate metabolism,BDH1
Gluconeogenesis,SLC25A10
Pyruvate metabolism,PDHB
TCA cycle,IDH3B
TCA-associated,MPC1
Ketone metabolism,OXCT2
Lipid metabolism,ACADM
Fatty acid oxidation,ACADSB
Type II fatty acid synthesis,NDUFAB1
Cardiolipin synthesis,PLD6
"Cholesterol, bile acid, steroid synthesis",HINT2
Phospholipid metabolism,LACTB
Amino acid metabolism,ADHFE1
Branched-chain amino acid metabolism,BCKDHB
Lysine metabolism,DLST
Glycine metabolism,ETFDH
Glutamate metabolism,SLC25A12
Glyoxylate metabolism,PRODH2
Nucleotide metabolism,CMPK2
Nucleotide import,SLC25A41
Nucleotide synthesis and processing,DUT
Metals and cofactors,ALAS2
Coenzyme Q metabolism,COQ7
Heme synthesis and processing,CPOX
Fe-S cluster biosynthesis,FDXR
NAD biosynthesis and metabolism,NOCT
Fe-S-containing proteins,DNA2
Heme-containing proteins,CYP27A1
Vitamin metabolism,BCO2
Folate and 1-C metabolism,GTPBP3
Detoxification,ALDH2
Xenobiotic metabolism,BPHL
ROS and glutathione metabolism,GPX4
Electron carriers,ETFBKMT
"Q-linked reactions, other",GPD2
Sulfur metabolism,SQOR
Small molecule transport,ABCD3
SLC25A family,SLC25A14
ABC transporters,ABCD3
Signaling,DELE1
Calcium homeostasis,PPIF
Calcium cycle,SLC8B1
EF hand proteins,SLC25A13
Mitochondrial dynamics and surveillance,ARMC10
Fusion,OPA1
Fission,MTFR1
Organelle contact sites,MIGA2
Intramitochondrial membrane interactions,SAMM50
Mitophagy,PARL
Autophagy,PARK7
Apoptosis,BCL2
Cristae formation,IMMT
Mitochondrial central dogma,CARS2
mtDNA maintenance,MGME1
mtDNA replication,SSBP1
mtDNA nucleoid,SSBP1
mtDNA repair,UNG
mtRNA metabolism,ERAL1
mtRNA granules,GRSF1
Polycistronic mtRNA processing,PRORP
mt-tRNA modifications,OSGEPL1
mt-rRNA modifications,NGRN
mtRNA stability and decay,LRPPRC
Translation,DARS2
Mitochondrial ribosome,MRPL13
Mitochondrial ribosome assembly,MIEF1
Translation factors,MTIF2
mt-tRNA synthetases,HARS2
"Protein import, sorting and homeostasis",CASP9
Protein import and sorting,GRPEL2
TOM,TOMM70
Protein homeostasis,CLPP
Proteases,CLPX
Chaperones,PHB2
OXPHOS,ATP5MC1
OXPHOS subunits,ATP5MC3
OXPHOS assembly factors,CMC2
Complex I,MT-ND1
CI subunits,NDUFA10
CI assembly factors,NDUFAF1
Complex III,UQCR10
CIII subunits,UQCRH
Complex IV,COA7
CIV subunits,COX6C
CIV assembly factors,COA7
Complex V,ATP5MC3
CV subunits,ATP5MC3
Metabolism,ACAA1
Carbohydrate metabolism,CLYBL
Gluconeogenesis,SLC25A11
Pyruvate metabolism,PDHX
TCA cycle,IDH3G
TCA-associated,MPC1L
Lipid metabolism,ACADS
Fatty acid oxidation,ACADVL
Type II fatty acid synthesis,OXSM
Cardiolipin synthesis,PLSCR3
"Cholesterol, bile acid, steroid synthesis",HSD17B10
Phospholipid metabolism,OSBPL1A
Amino acid metabolism,AGMAT
Branched-chain amino acid metabolism,BCKDK
Lysine metabolism,ECHS1
Glycine metabolism,GCAT
Nucleotide metabolism,DGUOK
Nucleotide import,SLC25A5
Nucleotide synthesis and processing,FHIT
Metals and cofactors,BOLA1
Coenzyme Q metabolism,COQ8A
Heme synthesis and processing,FABP1
Fe-S cluster biosynthesis,FXN
NAD biosynthesis and metabolism,NUDT13
Fe-S-containing proteins,ETFDH
Heme-containing proteins,CYP27B1
Vitamin metabolism,CHDH
Folate and 1-C metabolism,MTFMT
Detoxification,ALDH3A2
Xenobiotic metabolism,CBR3
ROS and glutathione metabolism,GSR
Electron carriers,ETFDH
"Q-linked reactions, other",PRODH
Sulfur metabolism,SUOX
Small molecule transport,CCDC51
SLC25A family,SLC25A15
Signaling,EFHD1
Calcium homeostasis,RHOT1
Calcium cycle,SMDT1
EF hand proteins,SLC25A23
Mitochondrial dynamics and surveillance,ARMCX1
Fusion,PLD6
Fission,MTFR2
Organelle contact sites,PIGBOS1
Intramitochondrial membrane interactions,SLC25A46
Mitophagy,PGAM5
Autophagy,PARL
Apoptosis,BCL2A1
Cristae formation,MICOS10
Mitochondrial central dogma,CDK5RAP1
mtDNA maintenance,MTERF1
mtDNA replication,TFAM
mtDNA nucleoid,TFAM
mtRNA metabolism,FASTK
mtRNA granules,HSD17B10
Polycistronic mtRNA processing,PTCD2
mt-tRNA modifications,PUS1
mt-rRNA modifications,NSUN4
mtRNA stability and decay,MTPAP
Translation,DDX28
Mitochondrial ribosome,MRPL14
Mitochondrial ribosome assembly,MPV17L2
Translation factors,MTIF3
mt-tRNA synthetases,IARS2
"Protein import, sorting and homeostasis",CHCHD4
Protein import and sorting,IMMP1L
Protein homeostasis,CLPX
Proteases,HTRA2
Chaperones,TIMM10
OXPHOS,ATP5MC2
OXPHOS subunits,ATP5MD
OXPHOS assembly factors,COA1
Complex I,MT-ND2
CI subunits,NDUFA11
CI assembly factors,NDUFAF2
Complex III,UQCR11
CIII subunits,UQCRQ
Complex IV,COA8
CIV subunits,COX7A1
CIV assembly factors,COA8
Complex V,ATP5MD
CV subunits,ATP5MD
Metabolism,ACAA2
Carbohydrate metabolism,CS
Pyruvate metabolism,PDK1
TCA cycle,MDH2
TCA-associated,MPC2
Lipid metabolism,ACADSB
Fatty acid oxidation,ACAT1
Cardiolipin synthesis,PNPLA8
"Cholesterol, bile acid, steroid synthesis",HSD17B8
Phospholipid metabolism,PGS1
Amino acid metabolism,AGXT
Branched-chain amino acid metabolism,DBT
Lysine metabolism,ETFA
Glycine metabolism,GCSH
Nucleotide metabolism,DHODH
Nucleotide import,SLC25A6
Nucleotide synthesis and processing,GUK1
Metals and cofactors,BOLA3
Coenzyme Q metabolism,COQ8B
Heme synthesis and processing,FDX1
Fe-S cluster biosynthesis,GLRX5
NAD biosynthesis and metabolism,SIRT3
Fe-S-containing proteins,FDX1
Heme-containing proteins,MT-CO1
Vitamin metabolism,CYP24A1
Folate and 1-C metabolism,MTHFD1L
Detoxification,ALDH7A1
Xenobiotic metabolism,CYB5B
ROS and glutathione metabolism,HAGH
Electron carriers,ETFRF1
"Q-linked reactions, other",PRODH2
Sulfur metabolism,TST
Small molecule transport,LETMD1
SLC25A family,SLC25A16
Signaling,FUNDC2
Calcium homeostasis,RHOT2
EF hand proteins,SLC25A24
Mitochondrial dynamics and surveillance,ARMCX3
Fission,MUL1
Organelle contact sites,RMDN3
Mitophagy,PINK1
Autophagy,PGAM5
Apoptosis,BCL2L1
Cristae formation,MICOS13
Mitochondrial central dogma,CHCHD1
mtDNA maintenance,MTERF2
mtDNA replication,TFB2M
mtDNA nucleoid,TWNK
mtRNA metabolism,FASTKD1
mtRNA granules,MRM1
Polycistronic mtRNA processing,TBRG4
mt-tRNA modifications,QTRT1
mt-rRNA modifications,RCC1L
mtRNA stability and decay,PDE12
Translation,DHX30
Mitochondrial ribosome,MRPL15
Mitochondrial ribosome assembly,MRM2
Translation factors,MTRF1
mt-tRNA synthetases,KARS1
"Protein import, sorting and homeostasis",CLPB
Protein import and sorting,IMMP2L
Protein homeostasis,DNAJA3
Proteases,IDE
Chaperones,TIMM10B
OXPHOS,ATP5MC3
OXPHOS subunits,ATP5ME
OXPHOS assembly factors,COA3
Complex I,MT-ND3
CI subunits,NDUFA12
CI assembly factors,NDUFAF3
Complex III,UQCRB
Complex IV,COX10
CIV subunits,COX7A2
CIV assembly factors,COX10
Complex V,ATP5ME
CV subunits,ATP5ME
Metabolism,ACACA
Carbohydrate metabolism,D2HGDH
Pyruvate metabolism,PDK2
TCA cycle,MRPS36
TCA-associated,PC
Lipid metabolism,ACADVL
Fatty acid oxidation,ACOT11
Cardiolipin synthesis,PRELID1
"Cholesterol, bile acid, steroid synthesis",OSBPL1A
Phospholipid metabolism,PISD
Amino acid metabolism,AGXT2
Branched-chain amino acid metabolism,DLD
Lysine metabolism,ETFB
Glycine metabolism,GLDC
Nucleotide metabolism,DTYMK
Nucleotide synthesis and processing,HINT1
Metals and cofactors,CHCHD7
Coenzyme Q metabolism,COQ9
Heme synthesis and processing,FDX2
Fe-S cluster biosynthesis,GRPEL1
NAD biosynthesis and metabolism,SIRT4
Fe-S-containing proteins,FDX2
Heme-containing proteins,MT-CYB
Vitamin metabolism,CYP27B1
Folate and 1-C metabolism,MTHFD2
Detoxification,ALDH9A1
Xenobiotic metabolism,CYB5R3
ROS and glutathione metabolism,MGST1
Electron carriers,GPD2
"Q-linked reactions, other",SQOR
Sulfur metabolism,TSTD1
Small molecule transport,MCU
SLC25A family,SLC25A18
Signaling,IFI27
Calcium homeostasis,SLC25A12
EF hand proteins,SLC25A25
Mitochondrial dynamics and surveillance,ATAD3A
Fission,OMA1
Organelle contact sites,SPIRE1
Mitophagy,PRKN
Autophagy,PINK1
Apoptosis,BCL2L10
Cristae formation,OPA1
Mitochondrial central dogma,COA3
mtDNA maintenance,MUTYH
mtDNA replication,TOP1MT
mtRNA metabolism,FASTKD2
mtRNA granules,MRM2
Polycistronic mtRNA processing,TRMT10C
mt-tRNA modifications,RPUSD4
mt-rRNA modifications,RPUSD3
mtRNA stability and decay,PNPT1
Translation,EARS2
Mitochondrial ribosome,MRPL16
Mitochondrial ribosome assembly,MRM3
Translation factors,MTRF1L
mt-tRNA synthetases,LARS2
"Protein import, sorting and homeostasis",CLPP
Protein import and sorting,MIPEP
Protein homeostasis,DNAJC4
Proteases,IMMP1L
Chaperones,TIMM13
OXPHOS,ATP5MD
OXPHOS subunits,ATP5MF
OXPHOS assembly factors,COA4
Complex I,MT-ND4
CI subunits,NDUFA13
CI assembly factors,NDUFAF4
Complex III,UQCRC1
Complex IV,COX11
CIV subunits,COX7A2L
CIV assembly factors,COX11
Complex V,ATP5MF
CV subunits,ATP5MF
Metabolism,ACACB
Carbohydrate metabolism,DCXR
Pyruvate metabolism,PDK3
TCA cycle,OGDH
TCA-associated,PCK2
Lipid metabolism,ACAT1
Fatty acid oxidation,ACSF2
Cardiolipin synthesis,PRELID3A
"Cholesterol, bile acid, steroid synthesis",SCP2
Phospholipid metabolism,PNPLA8
Amino acid metabolism,AKR7A2
Branched-chain amino acid metabolism,ECHS1
Lysine metabolism,ETFDH
Glycine metabolism,GLYAT
Nucleotide metabolism,DUT
Nucleotide synthesis and processing,NME3
Metals and cofactors,CISD1
Coenzyme Q metabolism,PDSS1
Heme synthesis and processing,FDXR
Fe-S cluster biosynthesis,GRPEL2
NAD biosynthesis and metabolism,SIRT5
Fe-S-containing proteins,FECH
Heme-containing proteins,SDHC
Vitamin metabolism,DHRS4
Folate and 1-C metabolism,MTHFD2L
Detoxification,BPHL
Xenobiotic metabolism,DHRS2
ROS and glutathione metabolism,MSRA
Electron carriers,MT-CYB
Small molecule transport,MCUB
SLC25A family,SLC25A19
Signaling,LETM1
Calcium homeostasis,SLC25A13
Mitochondrial dynamics and surveillance,ATAD3B
Fission,RAB24
Organelle contact sites,STX17
Mitophagy,TOMM7
Autophagy,PRKN
Apoptosis,BCL2L11
Mitochondrial central dogma,COX14
mtDNA maintenance,OGG1
mtDNA replication,TOP3A
mtRNA metabolism,FASTKD3
mtRNA granules,MRPL47
Polycistronic mtRNA processing,YBEY
mt-tRNA modifications,THG1L
mt-rRNA modifications,RPUSD4
mtRNA stability and decay,REXO2
Translation,ERAL1
Mitochondrial ribosome,MRPL17
Mitochondrial ribosome assembly,MTERF3
Translation factors,TACO1
mt-tRNA synthetases,MARS2
"Protein import, sorting and homeostasis",CLPX
Protein import and sorting,MTX1
Protein homeostasis,DNLZ
Proteases,IMMP2L
Chaperones,TIMM8A
OXPHOS,ATP5ME
OXPHOS subunits,ATP5MG
OXPHOS assembly factors,COA5
Complex I,MT-ND4L
CI subunits,NDUFA2
CI assembly factors,NDUFAF5
Complex III,UQCRC2
Complex IV,COX14
CIV subunits,COX7B
CIV assembly factors,COX14
Complex V,ATP5MG
CV subunits,ATP5MG
Metabolism,ACAD10
Carbohydrate metabolism,DLAT
Pyruvate metabolism,PDK4
TCA cycle,OGDHL
TCA-associated,SFXN5
Lipid metabolism,ACOT11
Fatty acid oxidation,ACSL1
Cardiolipin synthesis,PTPMT1
"Cholesterol, bile acid, steroid synthesis",STAR
Phospholipid metabolism,PRDX6
Amino acid metabolism,ALDH18A1
Branched-chain amino acid metabolism,ETFA
Lysine metabolism,GCDH
Glycine metabolism,SARDH
Nucleotide metabolism,FHIT
Nucleotide synthesis and processing,NME4
Metals and cofactors,CISD3
Coenzyme Q metabolism,PDSS2
Heme synthesis and processing,FECH
Fe-S cluster biosynthesis,HSCB
NAD biosynthesis and metabolism,SLC25A51
Fe-S-containing proteins,GLRX2
Heme-containing proteins,SDHD
Vitamin metabolism,DMGDH
Folate and 1-C metabolism,MTHFS
Detoxification,CAT
Xenobiotic metabolism,EPHX2
ROS and glutathione metabolism,MSRB2
Electron carriers,PRODH
Small molecule transport,MICU1
SLC25A family,SLC25A20
Signaling,LYPLA1
Calcium homeostasis,SLC25A23
Mitochondrial dynamics and surveillance,ATP5MD
Fission,SLC25A46
Organelle contact sites,SYNJ2BP
Mitophagy,USP30
Autophagy,RAB24
Apoptosis,BCL2L13
Mitochondrial central dogma,DAP3
mtDNA maintenance,PIF1
mtDNA replication,TWNK
mtRNA metabolism,FASTKD5
mtRNA granules,MRPS7
mt-tRNA modifications,TRIT1
mt-rRNA modifications,TFB1M
mtRNA stability and decay,RNASEH1
Translation,EXD2
Mitochondrial ribosome,MRPL18
Mitochondrial ribosome assembly,MTERF4
Translation factors,TIMM21
mt-tRNA synthetases,NARS2
"Protein import, sorting and homeostasis",DNAJA3
Protein import and sorting,MTX2
Protein homeostasis,FKBP10
Proteases,LACTB
Chaperones,TIMM8B
OXPHOS,ATP5MF
OXPHOS subunits,ATP5MPL
OXPHOS assembly factors,COA6
Complex I,MT-ND5
CI subunits,NDUFA3
CI assembly factors,NDUFAF6
Complex III,UQCRFS1
Complex IV,COX15
CIV subunits,COX7B2
CIV assembly factors,COX15
Complex V,ATP5MPL
CV subunits,ATP5MPL
Metabolism,ACAD11
Carbohydrate metabolism,DLD
Pyruvate metabolism,PDP1
TCA cycle,SDHA
TCA-associated,SLC25A1
Lipid metabolism,ACOT13
Fatty acid oxidation,ACSL6
Cardiolipin synthesis,TAMM41
"Cholesterol, bile acid, steroid synthesis",TSPO
Phospholipid metabolism,PRELID1
Amino acid metabolism,ALDH4A1
Branched-chain amino acid metabolism,ETFB
Lysine metabolism,HADH
Glycine metabolism,SHMT2
Nucleotide metabolism,GATM
Nucleotide synthesis and processing,NME6
Metals and cofactors,COASY
Heme synthesis and processing,HCCS
Fe-S cluster biosynthesis,HSPA9
NAD biosynthesis and metabolism,SLC25A52
Fe-S-containing proteins,GLRX5
Vitamin metabolism,ETFA
Folate and 1-C metabolism,MTO1
Detoxification,CBR3
Xenobiotic metabolism,GLYAT
ROS and glutathione metabolism,MSRB3
Electron carriers,PRODH2
Small molecule transport,MICU2
SLC25A family,SLC25A21
Signaling,MACROD1
Calcium homeostasis,SLC25A24
Mitochondrial dynamics and surveillance,ATP5ME
Fission,SPIRE1
Organelle contact sites,VDAC1
Mitophagy,VPS13D
Autophagy,SNAP29
Apoptosis,BCL2L2
Mitochondrial central dogma,DARS2
mtDNA maintenance,POLB
mtRNA metabolism,GRSF1
mtRNA granules,MRPS9
mt-tRNA modifications,TRMT1
mt-rRNA modifications,TRIT1
mtRNA stability and decay,SLIRP
Translation,FARS2
Mitochondrial ribosome,MRPL19
Mitochondrial ribosome assembly,MTG1
Translation factors,TSFM
mt-tRNA synthetases,PARS2
"Protein import, sorting and homeostasis",DNAJC11
Protein import and sorting,NRDC
Protein homeostasis,HSPD1
Proteases,LAP3
Chaperones,TIMM9
OXPHOS,ATP5MG
OXPHOS subunits,ATP5PB
OXPHOS assembly factors,COA7
Complex I,MT-ND6
CI subunits,NDUFA5
CI assembly factors,NDUFAF7
Complex III,UQCRH
Complex IV,COX16
CIV subunits,COX7C
CIV assembly factors,COX16
Complex V,ATP5PB
CV subunits,ATP5PB
Metabolism,ACAD8
Carbohydrate metabolism,DLST
Pyruvate metabolism,PDP2
TCA cycle,SDHB
TCA-associated,SLC25A11
Lipid metabolism,ACOT2
Fatty acid oxidation,ACSM1
Cardiolipin synthesis,TAZ
Phospholipid metabolism,PRELID3A
Amino acid metabolism,ALDH5A1
Branched-chain amino acid metabolism,ETFDH
Lysine metabolism,HADHB
Glycine metabolism,SLC25A38
Nucleotide metabolism,GUK1
Nucleotide synthesis and processing,NT5DC2
Metals and cofactors,COQ10A
Heme synthesis and processing,PPOX
Fe-S cluster biosynthesis,IBA57
Fe-S-containing proteins,ISCA1
Vitamin metabolism,ETFB
Folate and 1-C metabolism,QDPR
Detoxification,CYB5B
Xenobiotic metabolism,GSTK1
ROS and glutathione metabolism,NIT1
Electron carriers,SQOR
Small molecule transport,MICU3
SLC25A family,SLC25A22
Signaling,MAVS
Calcium homeostasis,SLC25A25
Mitochondrial dynamics and surveillance,ATP5MG
Fission,STX17
Autophagy,STX17
Apoptosis,BID
Mitochondrial central dogma,DDX28
mtDNA maintenance,POLDIP2
mtRNA metabolism,GTPBP3
mtRNA granules,MTPAP
mt-tRNA modifications,TRMT10C
mt-rRNA modifications,TRMT2B
mtRNA stability and decay,SUPV3L1
Translation,FASTKD2
Mitochondrial ribosome,MRPL2
Mitochondrial ribosome assembly,MTG2
Translation factors,TUFM
mt-tRNA synthetases,QRSL1
"Protein import, sorting and homeostasis",DNAJC15
Protein import and sorting,OXA1L
Protein homeostasis,HSPE1
Proteases,LONP1
Chaperones,TRAP1
OXPHOS,ATP5MPL
OXPHOS subunits,ATP5PD
OXPHOS assembly factors,COA8
Complex I,NDUFA1
CI subunits,NDUFA6
CI assembly factors,NDUFAF8
Complex III,UQCRQ
Complex IV,COX17
CIV subunits,COX8A
CIV assembly factors,COX17
Complex V,ATP5PD
CV subunits,ATP5PD
Metabolism,ACADL
Carbohydrate metabolism,FAHD1
Pyruvate metabolism,PDPR
TCA cycle,SDHC
Lipid metabolism,ACOT7
Fatty acid oxidation,ACSM2A
Cardiolipin synthesis,TRIAP1
Phospholipid metabolism,PRELID3B
Amino acid metabolism,ALDH6A1
Branched-chain amino acid metabolism,HADHA
Lysine metabolism,SLC25A29
Nucleotide metabolism,HINT1
Nucleotide synthesis and processing,NT5M
Metals and cofactors,COQ10B
Heme synthesis and processing,SLC25A38
Fe-S cluster biosynthesis,ISCA1
Fe-S-containing proteins,ISCA2
Vitamin metabolism,ETFDH
Folate and 1-C metabolism,SARDH
Detoxification,CYB5R3
Xenobiotic metabolism,GSTZ1
ROS and glutathione metabolism,OXR1
Small molecule transport,MPC1
SLC25A family,SLC25A23
Signaling,MCRIP2
Calcium homeostasis,SLC25A3
Mitochondrial dynamics and surveillance,BAD
Autophagy,TOMM7
Apoptosis,BIK
Mitochondrial central dogma,DHX30
mtDNA maintenance,POLG
mtRNA metabolism,HSD17B10
mtRNA granules,NOA1
mt-tRNA modifications,TRMT2B
mt-rRNA modifications,TRMT61B
mtRNA stability and decay,TBRG4
Translation,GADD45GIP1
Mitochondrial ribosome,MRPL20
Mitochondrial ribosome assembly,NGRN
mt-tRNA synthetases,RARS2
"Protein import, sorting and homeostasis",DNAJC19
Protein import and sorting,PAM16
Protein homeostasis,HTRA2
Proteases,METAP1D
OXPHOS,ATP5PB
OXPHOS subunits,ATP5PF
OXPHOS assembly factors,COX10
Complex I,NDUFA10
CI subunits,NDUFA7
CI assembly factors,NUBPL
Complex IV,COX18
CIV subunits,COX8C
CIV assembly factors,COX18
Complex V,ATP5PF
CV subunits,ATP5PF
Metabolism,ACADM
Carbohydrate metabolism,FH
TCA cycle,SDHD
Lipid metabolism,ACOT9
Fatty acid oxidation,ACSM2B
Phospholipid metabolism,PTPMT1
Amino acid metabolism,ALDH7A1
Branched-chain amino acid metabolism,HIBADH
Nucleotide metabolism,NME3
Nucleotide synthesis and processing,NUDT2
Metals and cofactors,COQ2
Fe-S cluster biosynthesis,ISCA2
Fe-S-containing proteins,ISCU
Vitamin metabolism,FDX1
Folate and 1-C metabolism,SFXN1
Detoxification,DHRS2
Xenobiotic metabolism,MAOA
ROS and glutathione metabolism,PRDX2
Small molecule transport,MPC1L
SLC25A family,SLC25A24
Signaling,MCU
Calcium homeostasis,SLC25A31
Mitochondrial dynamics and surveillance,BAK1
Autophagy,USP30
Apoptosis,BNIP3
Mitochondrial central dogma,DNA2
mtDNA maintenance,POLG2
mtRNA metabolism,LACTB2
mtRNA granules,PRORP
mt-tRNA modifications,TRMT5
mt-rRNA modifications,TRUB2
Translation,GARS1
Mitochondrial ribosome,MRPL21
Mitochondrial ribosome assembly,NOA1
mt-tRNA synthetases,SARS2
"Protein import, sorting and homeostasis",DNAJC4
Protein import and sorting,PMPCA
Protein homeostasis,IDE
Proteases,MIPEP
OXPHOS,ATP5PD
OXPHOS subunits,ATP5PO
OXPHOS assembly factors,COX11
Complex I,NDUFA11
CI subunits,NDUFA8
CI assembly factors,TIMMDC1
Complex IV,COX19
CIV subunits,MT-CO1
CIV assembly factors,COX19
Complex V,ATP5PO
CV subunits,ATP5PO
Metabolism,ACADS
Carbohydrate metabolism,GLYCTK
TCA cycle,SUCLA2
Lipid metabolism,ACP6
Fatty acid oxidation,ACSM3
Phospholipid metabolism,SERAC1
Amino acid metabolism,ALDH9A1
Branched-chain amino acid metabolism,HIBCH
Nucleotide metabolism,NME4
Nucleotide synthesis and processing,NUDT5
Metals and cofactors,COQ3
Fe-S cluster biosynthesis,ISCU
Fe-S-containing proteins,LIAS
Vitamin metabolism,FDXR
Folate and 1-C metabolism,SFXN3
Detoxification,EPHX2
Xenobiotic metabolism,MAOB
ROS and glutathione metabolism,PRDX3
Small molecule transport,MPC2
SLC25A family,SLC25A25
Signaling,MCUB
Calcium homeostasis,SLC25A4
Mitochondrial dynamics and surveillance,BAX
Autophagy,VPS13D
Apoptosis,BNIP3L
Mitochondrial central dogma,DUS2
mtDNA maintenance,POLQ
mtRNA metabolism,LRPPRC
mtRNA granules,PTCD1
mt-tRNA modifications,TRMT61B
Translation,GATB
Mitochondrial ribosome,MRPL22
Mitochondrial ribosome assembly,NSUN4
mt-tRNA synthetases,TARS2
"Protein import, sorting and homeostasis",DNLZ
Protein import and sorting,PMPCB
Protein homeostasis,IMMP1L
Proteases,NLN
OXPHOS,ATP5PF
OXPHOS subunits,COX4I1
OXPHOS assembly factors,COX14
Complex I,NDUFA12
CI subunits,NDUFA9
CI assembly factors,TMEM126A
Complex IV,COX20
CIV subunits,MT-CO2
CIV assembly factors,COX20
Complex V,ATPAF1
CV subunits,DMAC2L
Metabolism,ACADSB
Carbohydrate metabolism,GOT2
TCA cycle,SUCLG1
Lipid metabolism,ACSF2
Fatty acid oxidation,ACSM4
Phospholipid metabolism,SPHK2
Amino acid metabolism,AMT
Branched-chain amino acid metabolism,HMGCL
Nucleotide metabolism,NME6
Nucleotide synthesis and processing,NUDT9
Metals and cofactors,COQ4
Fe-S cluster biosynthesis,LYRM4
Fe-S-containing proteins,NDUFS1
Vitamin metabolism,FLAD1
Folate and 1-C metabolism,SHMT2
Detoxification,GLRX2
Xenobiotic metabolism,MGST1
ROS and glutathione metabolism,PRDX4
Small molecule transport,MPV17
SLC25A family,SLC25A26
Signaling,MICU1
Calcium homeostasis,SLC25A5
Mitochondrial dynamics and surveillance,BBC3
Apoptosis,BOK
Mitochondrial central dogma,EARS2
mtDNA maintenance,POLRMT
mtRNA metabolism,METTL15
mtRNA granules,PTCD2
mt-tRNA modifications,TRMU
Translation,GATC
Mitochondrial ribosome,MRPL23
Mitochondrial ribosome assembly,PTCD3
mt-tRNA synthetases,VARS2
"Protein import, sorting and homeostasis",FKBP10
Protein import and sorting,ROMO1
Protein homeostasis,IMMP2L
Proteases,OMA1
OXPHOS,ATP5PO
OXPHOS subunits,COX4I2
OXPHOS assembly factors,COX15
Complex I,NDUFA13
CI subunits,NDUFAB1
CI assembly factors,TMEM126B
Complex IV,COX4I1
CIV subunits,MT-CO3
CIV assembly factors,HIGD1A
Complex V,ATPAF2
CV subunits,MT-ATP6
Metabolism,ACADVL
Carbohydrate metabolism,GPD2
TCA cycle,SUCLG2
Lipid metabolism,ACSF3
Fatty acid oxidation,ACSM5
Phospholipid metabolism,SPTLC2
Amino acid metabolism,ARG2
Branched-chain amino acid metabolism,HSD17B10
Nucleotide metabolism,NT5DC2
Nucleotide synthesis and processing,PAICS
Metals and cofactors,COQ5
Fe-S cluster biosynthesis,NDUFAB1
Fe-S-containing proteins,NDUFS2
Vitamin metabolism,FPGS
Folate and 1-C metabolism,SLC25A32
Detoxification,GLYAT
Xenobiotic metabolism,MPST
ROS and glutathione metabolism,PRDX5
Small molecule transport,MPV17L
SLC25A family,SLC25A27
Signaling,MICU2
Calcium homeostasis,SLC25A6
Mitochondrial dynamics and surveillance,BCL2
Apoptosis,CASP3
Mitochondrial central dogma,ELAC2
mtDNA maintenance,PPA2
mtRNA metabolism,METTL17
mtRNA granules,PUS1
mt-tRNA modifications,TRNT1
Translation,GFM1
Mitochondrial ribosome,MRPL24
Mitochondrial ribosome assembly,RBFA
mt-tRNA synthetases,WARS2
"Protein import, sorting and homeostasis",GFER
Protein import and sorting,SAMM50
Protein homeostasis,LACTB
Proteases,PARL
OXPHOS,ATPAF1
OXPHOS subunits,COX5A
OXPHOS assembly factors,COX16
Complex I,NDUFA2
CI subunits,NDUFB1
CI assembly factors,TMEM186
Complex IV,COX4I2
CIV subunits,NDUFA4
CIV assembly factors,PET100
Complex V,ATPSCKMT
CV subunits,MT-ATP8
Metabolism,ACAT1
Carbohydrate metabolism,HADHB
Lipid metabolism,ACSL1
Fatty acid oxidation,ACSS1
Phospholipid metabolism,STARD7
Amino acid metabolism,AUH
Branched-chain amino acid metabolism,IVD
Nucleotide metabolism,NT5M
Nucleotide synthesis and processing,SUCLA2
Metals and cofactors,COQ6
Fe-S cluster biosynthesis,NFS1
Fe-S-containing proteins,NDUFS7
Vitamin metabolism,GLRX2
Folate and 1-C metabolism,SLC25A38
Detoxification,GPX1
Xenobiotic metabolism,MTARC1
ROS and glutathione metabolism,PRDX6
Small molecule transport,MRS2
SLC25A family,SLC25A28
Signaling,MICU3
Calcium homeostasis,SLC8B1
Mitochondrial dynamics and surveillance,BCL2A1
Apoptosis,CASP8
Mitochondrial central dogma,ENDOG
mtDNA maintenance,PRIMPOL
mtRNA metabolism,METTL5
mtRNA granules,RMND1
mt-tRNA modifications,YRDC
Translation,GFM2
Mitochondrial ribosome,MRPL27
Mitochondrial ribosome assembly,TFB1M
mt-tRNA synthetases,YARS2
"Protein import, sorting and homeostasis",GRPEL1
Protein import and sorting,TIMM10
Protein homeostasis,LAP3
Proteases,PITRM1
OXPHOS,ATPAF2
OXPHOS subunits,COX5B
OXPHOS assembly factors,COX17
Complex I,NDUFA3
CI subunits,NDUFB10
CI assembly factors,TMEM70
Complex IV,COX5A
